--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Erick Aybar,31,638,.292,82,.300,.069,0.5%,11.4%,3.9%,85.2,22.1%,25.2%,49.8%,15.7%,1.13,30.6%,53.5%,15.9%,-2.0,-2.1%,-12.0,38%,71%,51%,aybarer01
Jett Bandy,25,2,1.017,618,.000,1.500,50.0%,0.0%,0.0%,89.0,50.0%,0.0%,0.0%,100.0%,0.00,50.0%,0.0%,50.0%,0.0,0.0%,0.9,,,,bandyje01
Drew Butera,31,21,.190,25,.211,.000,0.0%,9.5%,0.0%,83.9,21.1%,36.8%,26.3%,26.3%,0.36,26.3%,57.9%,15.8%,-0.1,-0.1%,-1.6,75%,0%,50%,buterdr01
Kole Calhoun,27,686,.320,103,.304,.167,3.8%,23.9%,6.6%,86.6,35.9%,31.1%,41.9%,21.8%,0.73,37.3%,47.7%,15.0%,1.7,1.0%,8.8,28%,80%,37%,calhoko01
Kaleb Cowart,23,52,.239,46,.269,.109,1.9%,36.5%,9.6%,83.9,28.0%,28.6%,57.1%,0.0%,1.45,25.0%,53.6%,21.4%,-0.3,-0.3%,-2.5,35%,50%,33%,cowarka01
Collin Cowgill,29,74,.240,44,.245,.101,1.4%,25.7%,5.4%,84.9,33.3%,27.5%,45.1%,13.7%,0.85,23.5%,56.9%,19.6%,-0.7,-0.8%,-2.8,35%,67%,57%,cowgico01
C.J. Cron,25,404,.317,101,.293,.177,4.0%,20.3%,4.2%,89.2,41.9%,27.8%,45.2%,16.4%,0.82,23.1%,52.8%,24.1%,0.4,0.1%,4.3,20%,75%,41%,croncj01
David DeJesus,35,60,.182,2,.163,.018,0.0%,21.7%,3.3%,81.4,11.9%,18.6%,37.2%,30.2%,0.59,34.9%,48.8%,16.3%,-1.0,-1.0%,-4.8,27%,,20%,dejesda01
Taylor Featherston,25,169,.216,25,.215,.084,1.2%,27.2%,4.1%,86.9,31.2%,22.1%,45.1%,19.5%,0.94,18.6%,54.0%,27.4%,-0.8,-0.8%,-12.1,38%,67%,55%,feathta01
David Freese,32,470,.333,113,.310,.163,3.0%,22.8%,6.6%,89.3,41.3%,25.6%,55.0%,15.0%,1.22,19.4%,52.8%,27.8%,0.4,1.0%,5.9,28%,50%,28%,freesda01
Johnny Giavotella,27,502,.309,95,.301,.104,0.8%,11.8%,6.4%,86.0,22.9%,29.6%,45.7%,15.6%,0.89,21.3%,56.5%,22.2%,1.5,1.8%,5.0,31%,67%,58%,giavojo01
Conor Gillaspie,27,68,.253,53,.240,.141,1.5%,19.1%,5.9%,91.5,42.2%,29.4%,41.2%,21.6%,0.70,35.3%,49.0%,15.7%,0.3,0.4%,0.7,19%,,0%,gillaco01
Grant Green,27,44,.186,11,.259,.071,2.3%,31.8%,4.6%,85.4,26.1%,10.7%,64.3%,14.3%,2.25,21.4%,60.7%,17.9%,-0.6,-0.4%,-4.7,33%,0%,0%,greengr01
Andrew Heaney,24,6,.000,-180,.000,.000,0.0%,50.0%,0.0%,,,0.0%,33.3%,0.0%,,33.3%,66.7%,0.0%,-0.1,-0.1%,-2.0,,,,heanean01
Chris Iannetta,32,317,.287,80,.225,.147,3.2%,26.2%,12.9%,90.3,41.7%,20.3%,40.1%,29.7%,0.67,27.1%,49.5%,23.4%,-1.5,-1.0%,-8.1,22%,0%,23%,iannech01
