--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jeff Baker,30,212,.326,96,.333,.114,1.4%,21.7%,4.7%,21.8%,49.4%,25.6%,0.97,21.2%,58.3%,20.5%,-0.3,0.3%,-4.0,28%,,35%,bakerje03
Darwin Barney,25,571,.314,86,.310,.078,0.4%,11.7%,3.9%,22.4%,47.8%,20.9%,0.96,20.5%,58.4%,21.1%,0.7,0.3%,-3.2,37%,82%,40%,barneda01
Justin Berg,27,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.5,,,,bergju01
Marlon Byrd,33,482,.331,100,.316,.119,1.9%,16.2%,5.2%,24.3%,49.6%,19.1%,1.00,25.6%,60.4%,14.0%,-1.7,-0.2%,-14.8,29%,60%,46%,byrdma01
Tony Campana,25,155,.308,57,.321,.042,0.7%,19.4%,5.2%,12.9%,55.2%,11.2%,2.06,22.4%,63.8%,13.8%,0.5,0.1%,2.2,37%,92%,50%,campato01
Andrew Cashner,24,2,.000,-391,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,cashnan01
Welington Castillo,24,13,.202,5,.222,.000,0.0%,30.8%,0.0%,11.1%,44.4%,22.2%,1.00,11.1%,77.8%,11.1%,-0.1,0.0%,-2.5,0%,,,castiwe01
Starlin Castro,21,715,.353,115,.344,.125,1.4%,13.4%,4.9%,20.1%,49.3%,25.8%,0.97,27.1%,53.8%,19.1%,0.2,0.1%,14.8,35%,71%,32%,castrst01
Steve Clevenger,25,5,.400,151,.250,.250,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,0.33,0.0%,100.0%,0.0%,-0.1,0.0%,0.1,50%,,,clevest01
Casey Coleman,23,29,.188,-23,.211,.120,0.0%,20.7%,0.0%,17.4%,30.4%,30.4%,0.58,21.7%,69.6%,8.7%,-0.4,-0.1%,-5.7,20%,,50%,colemca01
Tyler Colvin,25,222,.224,19,.175,.155,2.7%,26.1%,6.3%,15.3%,38.0%,32.7%,0.62,32.0%,50.7%,17.3%,-0.3,-0.1%,-11.0,27%,,25%,colvity01
Doug Davis,35,13,.000,-219,.000,.000,0.0%,30.8%,0.0%,0.0%,55.6%,0.0%,,11.1%,77.8%,11.1%,-0.3,0.0%,-3.1,,,,davisdo02
Ryan Dempster,34,70,.089,-113,.128,.000,0.0%,27.1%,1.4%,12.2%,51.0%,6.1%,2.27,18.4%,63.3%,18.4%,-1.5,-0.3%,-14.2,17%,,50%,dempsry01
Blake DeWitt,25,243,.327,96,.289,.148,2.1%,12.8%,4.9%,20.1%,44.7%,26.1%,0.81,35.2%,51.3%,13.6%,-1.0,0.0%,0.2,23%,100%,28%,dewitbl01
Kosuke Fukudome,34,345,.348,114,.330,.096,0.9%,16.5%,13.3%,19.9%,54.8%,19.5%,1.28,28.6%,55.2%,16.2%,0.1,0.3%,4.0,24%,50%,25%,fukudko01
Matt Garza,27,71,.104,-81,.273,.000,0.0%,59.2%,1.4%,3.7%,63.0%,3.7%,8.50,3.7%,51.9%,44.4%,-1.4,-0.3%,-14.5,25%,,,garzama01
Koyie Hill,32,153,.250,36,.258,.082,1.3%,26.1%,9.2%,23.2%,44.4%,20.2%,0.92,33.3%,51.5%,15.2%,-1.3,-0.3%,-11.6,34%,100%,36%,hillko01
Reed Johnson,34,266,.372,130,.394,.159,1.9%,23.7%,1.9%,21.4%,41.7%,24.6%,0.75,31.6%,54.0%,14.4%,0.2,0.5%,7.1,32%,67%,48%,johnsre02
Bryan LaHair,28,69,.383,139,.375,.220,2.9%,26.1%,13.0%,16.7%,42.9%,33.3%,0.75,40.5%,45.2%,14.3%,0.8,0.0%,3.7,29%,,33%,lahaibr01
DJ LeMahieu,22,62,.257,44,.313,.033,0.0%,19.4%,1.6%,14.3%,63.3%,18.4%,1.82,18.4%,69.4%,12.2%,-0.3,-0.1%,-4.4,15%,,0%,lemahdj01
Rodrigo Lopez,35,33,.081,-97,.105,.000,0.0%,33.3%,3.0%,9.5%,71.4%,0.0%,7.50,9.5%,61.9%,28.6%,-0.6,0.0%,-6.0,33%,,0%,lopezro02
Marcos Mateo,27,2,.000,-391,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.00,50.0%,50.0%,0.0%,0.0,0.0%,-0.3,,,,mateoma01
Luis Montanez,29,57,.265,57,.250,.130,1.8%,15.8%,3.5%,24.4%,44.4%,24.4%,0.80,15.6%,66.7%,17.8%,0.2,0.1%,1.4,29%,0%,50%,montalu01
Ramon Ortiz,38,3,.456,239,,.000,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.2,,,,ortizra02
Carlos Pena,33,606,.360,122,.267,.237,4.6%,26.6%,16.7%,17.4%,35.9%,36.2%,0.59,37.9%,50.6%,11.5%,3.2,0.4%,23.4,23%,50%,47%,penaca01
Aramis Ramirez,33,626,.384,140,.308,.204,4.2%,11.0%,6.9%,23.6%,34.1%,30.8%,0.52,27.6%,54.8%,17.7%,4.1,0.0%,31.4,27%,50%,27%,ramirar01
James Russell,25,8,.114,-61,.200,.000,0.0%,37.5%,0.0%,0.0%,40.0%,40.0%,1.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-2.1,0%,,,russeja02
Jeff Samardzija,26,4,.000,-146,.000,.000,0.0%,75.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.2,,,,samarje01
Brad Snyder,29,9,.101,-71,.333,.000,0.0%,66.7%,0.0%,66.7%,33.3%,0.0%,0.50,0.0%,100.0%,0.0%,-0.2,0.0%,-1.9,50%,,,snydebr02
Alfonso Soriano,35,508,.334,102,.266,.225,5.1%,22.2%,5.3%,17.6%,29.9%,43.4%,0.43,32.1%,52.5%,15.4%,1.5,0.1%,9.7,20%,67%,27%,soriaal01
Geovany Soto,28,474,.328,98,.280,.183,3.6%,26.2%,9.5%,20.7%,40.8%,30.1%,0.69,41.1%,44.1%,14.7%,-0.2,-0.1%,-1.5,22%,,37%,sotoge01
Jeff Stevens,27,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,steveje01
