--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jim Adduci,34,5,.000,-141,.000,.000,0.0%,60.0%,0.0%,79.4,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.2,,,,adducji02
Albert Almora,25,363,.286,64,.255,.145,3.3%,17.1%,4.4%,86.1,31.8%,22.9%,51.1%,15.5%,1.10,19.9%,59.9%,20.2%,-1.7,-1.3%,-24.5,34%,67%,41%,almoral01
Adbert Alzolay,24,5,.000,-141,.000,.000,0.0%,40.0%,0.0%,84.5,0.0%,0.0%,100.0%,0.0%,,0.0%,33.3%,66.7%,-0.1,-0.1%,-1.8,,,,alzolad01
Javier Baez,26,561,.351,113,.345,.250,5.2%,27.8%,5.0%,92.0,49.1%,24.7%,49.9%,23.1%,1.00,23.7%,55.1%,21.3%,0.3,0.1%,9.1,40%,61%,72%,baezja01
David Bote,26,356,.351,110,.333,.165,3.1%,26.1%,12.4%,90.4,40.7%,31.1%,50.0%,15.6%,1.00,20.8%,59.4%,19.8%,0.0,0.0%,10.6,30%,83%,47%,boteda01
Brad Brach,33,5,.222,-2,.333,.000,0.0%,20.0%,0.0%,88.9,33.3%,50.0%,25.0%,0.0%,0.50,0.0%,50.0%,50.0%,0.0,0.0%,1.2,0%,,,brachbr01
Kris Bryant,27,634,.389,137,.331,.239,4.9%,22.9%,11.7%,87.9,37.0%,24.0%,36.0%,28.5%,0.57,29.8%,54.3%,16.0%,3.2,2.9%,30.9,37%,100%,58%,bryankr01
Victor Caratini,25,279,.348,109,.305,.180,3.9%,21.2%,10.4%,90.1,37.9%,28.7%,50.0%,18.6%,1.00,23.4%,57.4%,19.1%,-0.5,-0.3%,0.9,23%,100%,29%,caratvi01
Nick Castellanos,27,225,.413,158,.347,.325,7.1%,20.9%,4.4%,90.4,48.1%,28.3%,38.6%,30.1%,0.63,22.9%,59.0%,18.1%,0.7,0.8%,13.6,42%,0%,53%,casteni01
