--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Addison Russell,22,598,.326,92,.277,.179,3.5%,22.6%,9.2%,88.0,36.8%,25.3%,41.9%,21.5%,0.73,30.0%,49.9%,20.2%,1.7,1.3%,10.3,27%,83%,31%,russead02
Kyle Schwarber,23,5,.139,-41,.000,.000,0.0%,40.0%,20.0%,101.6,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.6,0%,,0%,schwaky01
Jorge Soler,24,264,.344,106,.276,.198,4.6%,25.0%,11.7%,91.0,43.4%,23.2%,40.9%,25.6%,0.69,29.4%,51.3%,19.4%,0.3,-0.1%,1.1,33%,,36%,solerjo01
Pedro Strop,31,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,78.0,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,stroppe01
Matt Szczur,26,200,.307,85,.305,.141,2.5%,19.5%,6.5%,85.5,28.5%,21.8%,41.5%,23.1%,0.74,25.7%,52.1%,22.2%,-0.5,0.1%,1.1,38%,33%,36%,szczuma01
Adam Warren,28,4,.000,-223,,.000,0.0%,75.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.6,,,,warread01
Travis Wood,29,12,.208,8,.333,.000,0.0%,41.7%,8.3%,83.2,16.7%,33.3%,16.7%,50.0%,0.20,16.7%,83.3%,0.0%,0.1,0.1%,-0.2,0%,,0%,woodtr01
Rob Zastryzny,24,3,.000,-142,.000,.000,0.0%,66.7%,0.0%,98.4,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-1.1,,,,zastrro01
Ben Zobrist,35,631,.370,126,.290,.174,2.9%,13.0%,15.2%,89.6,40.7%,26.7%,47.2%,18.9%,0.93,41.8%,45.0%,13.2%,1.3,1.1%,21.1,34%,60%,50%,zobribe01
League Average,,,.326,94,.301,.158,2.9%,21.5%,8.3%,88.6,38.5%,26.4%,45.0%,20.2%,0.85,27.9%,52.2%,19.9%,,,,30%,71%,40%,-9999
Team Total,,6335,.342,104,.302,.173,3.1%,21.1%,10.4%,88.5,38.5%,26.3%,42.0%,22.2%,0.75,33.1%,49.5%,17.4%,4.3,2.5%,97.5,31%,66%,43%,-9999
