--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Pete Alonso,24,693,.399,154,.280,.323,7.7%,26.4%,10.4%,91.4,46.6%,23.3%,40.5%,28.3%,0.68,30.4%,56.4%,13.3%,3.5,1.8%,41.9,26%,100%,33%,alonspe01
Aaron Altherr,28,35,.199,10,.188,.129,2.9%,42.9%,5.7%,88.2,18.8%,35.3%,17.6%,35.3%,0.21,11.8%,52.9%,35.3%,-0.3,-0.2%,-3.9,50%,,100%,altheaa01
Keon Broxton,29,53,.181,-9,.259,.020,0.0%,41.5%,7.6%,87.3,39.1%,29.6%,44.4%,22.2%,0.80,22.2%,59.3%,18.5%,-0.7,-0.5%,-9.1,31%,80%,40%,broxtke01
Robinson Canó,36,423,.314,92,.280,.172,3.1%,16.3%,5.9%,91.4,49.0%,27.5%,49.4%,18.2%,0.98,29.3%,52.2%,18.5%,-0.9,-0.4%,-9.2,28%,,31%,canoro01
Michael Conforto,26,648,.365,129,.290,.237,5.1%,23.0%,13.0%,89.5,41.6%,28.4%,34.6%,29.6%,0.53,35.4%,46.8%,17.8%,1.5,0.4%,30.8,28%,78%,46%,confomi01
Travis d'Arnaud,30,25,.126,-42,.111,.000,0.0%,20.0%,8.0%,90.1,31.3%,22.2%,44.4%,16.7%,0.80,22.2%,44.4%,33.3%,-0.5,-0.4%,-5.1,50%,,0%,darnatr01
J.D. Davis,26,453,.384,142,.355,.220,4.9%,21.4%,8.4%,92.0,50.7%,28.6%,46.0%,21.6%,0.85,23.6%,58.0%,18.5%,2.3,0.8%,11.0,30%,100%,30%,davisjd01
Rajai Davis,38,26,.279,81,.211,.200,3.9%,19.2%,3.9%,87.3,33.3%,30.0%,40.0%,10.0%,0.73,35.0%,45.0%,20.0%,-0.2,0.0%,2.3,30%,0%,50%,davisra01
Jacob deGrom,31,70,.245,42,.250,.123,2.9%,27.1%,5.7%,85.6,33.3%,17.0%,51.1%,23.4%,1.26,31.9%,48.9%,19.1%,-0.2,0.0%,-4.5,13%,,0%,degroja01
Chris Flexen,24,2,.444,186,.500,.000,0.0%,0.0%,0.0%,81.3,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,0.0,0%,,,flexech01
Wilmer Font,29,4,.296,73,1.000,.000,0.0%,50.0%,0.0%,85.7,0.0%,0.0%,50.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.9,0%,,,fontwi01
Todd Frazier,33,499,.335,109,.284,.192,4.2%,21.2%,8.0%,88.9,41.3%,26.4%,36.1%,26.1%,0.56,32.6%,54.0%,13.5%,-0.3,-0.5%,2.6,29%,33%,54%,frazito01
Drew Gagnon,29,4,.296,73,.333,.000,0.0%,0.0%,0.0%,94.8,66.7%,50.0%,25.0%,0.0%,0.50,0.0%,66.7%,33.3%,0.0,0.0%,-1.7,0%,,,gagnodr01
Carlos Gomez,33,99,.284,67,.259,.140,3.0%,30.3%,7.1%,86.8,35.8%,23.7%,28.8%,25.4%,0.49,25.4%,52.5%,22.0%,0.0,0.0%,-4.0,27%,80%,38%,gomezca01
Robert Gsellman,25,1,.693,365,,,0.0%,0.0%,100.0%,,,,,,,,,,0.1,0.0%,0.4,0%,,,gsellro01
Luis Guillorme,24,70,.302,84,.304,.115,1.4%,20.0%,10.0%,85.6,29.5%,26.5%,38.8%,20.4%,0.70,30.6%,42.9%,26.5%,0.2,0.1%,-4.6,28%,,57%,guilllu01
Sam Haggerty,25,4,.000,-133,.000,.000,0.0%,75.0%,0.0%,70.3,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-0.7,25%,,100%,haggesa01
Donnie Hart,28,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,hartdo01
Adeiny Hechavarria,30,151,.279,66,.231,.155,3.3%,21.9%,5.3%,87.6,27.7%,14.7%,49.5%,28.4%,1.00,27.5%,49.5%,22.9%,-0.1,0.0%,0.0,42%,75%,60%,hechaad01
Juan Lagares,30,285,.265,55,.279,.112,1.8%,26.3%,7.7%,88.4,38.9%,26.3%,44.6%,18.3%,0.86,15.7%,53.0%,31.4%,-0.9,-0.3%,-13.7,40%,80%,52%,lagarju01
Walker Lockett,25,7,.226,29,.500,.000,0.0%,57.1%,14.3%,95.2,50.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,0%,,0%,lockewa01
Jed Lowrie,35,8,.087,-71,.000,.000,0.0%,50.0%,12.5%,79.9,0.0%,33.3%,33.3%,33.3%,0.50,0.0%,33.3%,66.7%,-0.1,0.0%,-2.1,0%,,0%,lowrije01
Seth Lugo,29,1,.887,504,1.000,.000,0.0%,0.0%,0.0%,75.0,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.9,0%,,,lugose01
Steven Matz,28,61,.232,29,.308,.053,1.6%,27.9%,0.0%,80.6,20.5%,20.5%,38.6%,22.7%,0.81,20.5%,54.5%,25.0%,-0.8,-0.4%,-8.3,23%,,29%,matzst01
Chris Mazza,29,3,.000,-133,.000,.000,0.0%,33.3%,0.0%,82.1,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.8,,,,mazzach01
Jeff McNeil,27,567,.389,149,.337,.214,4.1%,13.2%,6.2%,88.7,38.1%,26.6%,42.4%,24.1%,0.76,37.4%,47.2%,15.4%,1.4,0.6%,29.3,31%,45%,37%,mcneije01
Tomás Nido,25,144,.229,30,.232,.125,2.8%,25.7%,4.9%,88.0,35.3%,17.0%,54.0%,19.0%,1.23,18.0%,60.0%,22.0%,-1.0,-0.4%,-11.4,17%,,8%,nidoto01
Brandon Nimmo,26,254,.348,115,.293,.186,3.2%,28.0%,18.1%,88.9,37.0%,28.0%,37.9%,28.8%,0.63,33.3%,50.8%,15.9%,0.8,0.3%,12.1,30%,100%,52%,nimmobr01
Corey Oswalt,25,3,.000,-249,.000,.000,0.0%,33.3%,0.0%,89.0,0.0%,0.0%,0.0%,50.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.5,,,,oswalco01
Joe Panik,28,103,.338,110,.289,.128,1.9%,8.7%,6.8%,86.7,29.3%,26.7%,46.5%,17.4%,0.89,27.9%,47.7%,24.4%,0.7,0.2%,3.5,47%,,21%,panikjo01
Wilson Ramos,31,524,.336,108,.310,.129,2.7%,13.2%,8.4%,90.3,44.4%,19.9%,63.4%,13.8%,1.73,21.1%,57.5%,21.4%,1.8,0.7%,13.2,22%,100%,12%,ramoswi01
Rene Rivera,35,20,.334,107,.250,.176,5.0%,20.0%,15.0%,87.6,23.1%,7.7%,46.2%,46.2%,0.86,7.7%,84.6%,7.7%,-0.2,-0.1%,-0.2,17%,,0%,riverre01
Amed Rosario,23,655,.329,104,.338,.144,2.3%,18.9%,4.7%,89.6,41.5%,28.0%,48.1%,18.9%,0.93,17.8%,62.3%,19.8%,0.1,-0.2%,5.7,31%,66%,50%,rosaram01
Paul Sewald,29,1,.000,-133,.000,.000,0.0%,0.0%,0.0%,66.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,sewalpa01
Dominic Smith,24,197,.367,133,.320,.243,5.6%,22.3%,9.6%,88.4,38.1%,25.6%,39.8%,24.8%,0.67,33.3%,50.0%,16.7%,0.1,-0.3%,5.2,41%,33%,40%,smithdo02
Marcus Stroman,28,23,.038,-125,.100,.000,0.0%,47.8%,0.0%,85.0,25.0%,16.7%,50.0%,8.3%,2.00,25.0%,66.7%,8.3%,-0.4,-0.1%,-4.5,200%,,0%,stromma01
Noah Syndergaard,26,69,.145,-31,.250,.108,2.9%,68.1%,4.4%,89.1,53.3%,15.8%,31.6%,31.6%,0.55,15.8%,73.7%,10.5%,-1.1,-0.4%,-12.5,57%,,,syndeno01
Ruben Tejada,29,9,.000,-133,.000,.000,0.0%,33.3%,0.0%,80.4,0.0%,16.7%,50.0%,33.3%,1.00,0.0%,83.3%,16.7%,-0.2,-0.2%,-2.8,100%,,,tejadru01
Jason Vargas,36,31,.063,-108,.167,.000,0.0%,51.6%,0.0%,81.4,20.0%,26.7%,26.7%,13.3%,0.67,40.0%,53.3%,6.7%,-0.6,-0.3%,-7.0,0%,,0%,vargaja01
Zack Wheeler,29,64,.261,52,.297,.088,1.6%,29.7%,3.1%,78.4,18.2%,22.0%,48.8%,12.2%,1.33,19.5%,61.0%,19.5%,-0.3,-0.1%,-4.6,27%,,0%,wheelza01
League Average,,,.326,93,.298,.178,3.5%,23.0%,8.5%,88.7,39.4%,25.0%,43.0%,23.5%,0.78,28.3%,53.0%,18.8%,,,,31%,74%,42%,-9999
Team Total,,6290,.334,106,.299,.185,3.9%,22.0%,8.2%,89.3,41.0%,25.3%,44.5%,22.5%,0.83,27.3%,54.0%,18.7%,3.6,0.1%,45.9,30%,67%,38%,-9999
