--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tyler Bashlor,25,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,bashlty01
Buddy Baumann,30,1,.000,-133,.000,.000,0.0%,0.0%,0.0%,63.6,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,baumabu01
Jose Bautista,37,302,.344,121,.268,.163,3.0%,27.8%,16.9%,91.7,50.7%,25.3%,37.7%,21.6%,0.60,30.9%,50.6%,18.5%,0.3,0.3%,10.7,29%,50%,42%,bautijo02
Chris Beck,27,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,beckch02
Jerry Blevins,34,2,.450,196,1.000,.000,0.0%,50.0%,0.0%,,,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.7,0%,,,blevije01
Jay Bruce,31,361,.296,85,.263,.147,2.5%,20.8%,11.4%,88.6,35.9%,24.5%,29.8%,35.5%,0.42,35.9%,51.0%,13.1%,-0.7,-0.4%,-0.1,21%,40%,29%,bruceja01
Asdrubal Cabrera,32,407,.357,129,.309,.211,4.4%,19.9%,7.1%,90.2,42.3%,22.0%,43.2%,27.7%,0.78,34.5%,55.1%,10.5%,1.4,0.9%,17.8,26%,,50%,cabreas01
Yoenis Céspedes,32,157,.357,125,.333,.234,5.7%,31.9%,8.3%,92.1,52.4%,23.7%,30.1%,32.3%,0.43,35.5%,48.4%,16.1%,0.9,0.6%,10.3,26%,100%,67%,cespeyo01
Michael Conforto,25,638,.350,125,.289,.204,4.4%,24.9%,13.2%,88.3,39.7%,23.7%,44.6%,25.3%,0.80,34.8%,47.2%,18.0%,2.0,0.1%,18.8,26%,43%,42%,confomi01
P.J. Conlon,24,3,.267,63,.333,.000,0.0%,0.0%,0.0%,69.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,100%,,0%,conlopj01
Travis d'Arnaud,29,16,.284,75,.222,.200,6.3%,31.3%,6.3%,94.2,50.0%,50.0%,10.0%,30.0%,0.11,20.0%,60.0%,20.0%,0.0,-0.1%,-0.4,0%,,0%,darnatr01
Jacob deGrom,30,74,.193,5,.262,.015,0.0%,33.8%,5.4%,82.1,12.1%,20.0%,46.7%,17.8%,1.17,28.9%,48.9%,22.2%,-0.6,-0.3%,-7.2,7%,,25%,degroja01
Matt den Dekker,30,21,.109,-53,.000,.000,0.0%,42.9%,9.5%,86.6,22.2%,20.0%,30.0%,20.0%,0.43,30.0%,50.0%,20.0%,-0.4,0.0%,-3.8,0%,,,dendema01
Phillip Evans,25,23,.188,-3,.231,.000,0.0%,34.8%,8.7%,85.9,25.0%,15.4%,46.2%,23.1%,0.86,30.8%,46.2%,23.1%,-0.1,-0.1%,-2.5,20%,100%,100%,evansph01
Wilmer Flores,26,429,.322,103,.269,.150,2.6%,9.8%,6.8%,87.0,30.3%,24.6%,36.8%,26.3%,0.58,23.5%,56.4%,20.1%,-0.1,-0.4%,-4.4,25%,,27%,florewi01
Todd Frazier,32,472,.318,100,.241,.176,3.8%,23.7%,10.2%,90.3,41.1%,23.4%,35.9%,28.9%,0.56,29.6%,55.3%,15.1%,0.5,0.4%,2.3,29%,69%,41%,frazito01
Drew Gagnon,28,2,.000,-133,.000,.000,0.0%,0.0%,0.0%,87.3,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.4,,,,gagnodr01
Adrian Gonzalez,36,187,.291,80,.260,.136,3.2%,18.2%,8.0%,88.7,39.1%,27.0%,43.8%,27.0%,0.79,34.3%,54.0%,11.7%,-0.4,0.0%,-0.6,18%,,20%,gonzaad01
Robert Gsellman,24,4,.181,0,.000,.000,0.0%,50.0%,0.0%,87.0,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,100%,,100%,gsellro01
Luis Guillorme,23,74,.269,62,.219,.030,0.0%,4.1%,9.5%,85.9,31.3%,20.3%,51.6%,23.4%,1.14,20.3%,50.0%,29.7%,-0.2,0.0%,-2.0,18%,100%,50%,guilllu01
Matt Harvey,29,7,.257,55,.400,.000,0.0%,28.6%,0.0%,80.5,0.0%,40.0%,40.0%,0.0%,0.67,40.0%,40.0%,20.0%,0.0,0.0%,-0.6,0%,,,harvema01
Austin Jackson,31,210,.282,76,.380,.101,1.4%,35.2%,5.7%,86.9,30.7%,25.0%,45.2%,23.4%,0.84,15.3%,62.1%,22.6%,-1.7,0.0%,-6.1,24%,33%,33%,jacksau01
Kevin Kaczmarski,26,5,.040,-31,.000,.000,0.0%,20.0%,20.0%,77.5,0.0%,0.0%,33.3%,66.7%,0.50,0.0%,66.7%,33.3%,0.0,0.0%,-0.5,0%,0%,,kaczmke01
Ty Kelly,29,12,.133,-36,.111,.000,0.0%,16.7%,8.3%,83.5,12.5%,11.1%,55.6%,11.1%,1.67,33.3%,55.6%,11.1%,-0.3,0.0%,-2.1,33%,,,kellyty01
