--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Kelly Shoppach,32,87,.279,66,.265,.139,3.5%,31.0%,5.8%,17.3%,30.8%,44.2%,0.44,38.5%,48.1%,13.5%,0.1,0.0%,-1.3,19%,,33%,shoppke01
Ruben Tejada,22,501,.324,102,.339,.063,0.2%,14.6%,5.4%,25.8%,39.1%,26.5%,0.66,27.5%,56.6%,15.9%,-1.5,-0.3%,-7.9,32%,50%,48%,tejadru01
Josh Thole,25,354,.262,54,.273,.056,0.3%,14.1%,7.6%,15.9%,57.2%,22.1%,1.39,16.7%,61.6%,21.7%,-1.1,0.2%,-18.9,23%,,28%,tholejo01
Andres Torres,34,434,.313,91,.293,.107,0.7%,20.7%,12.0%,20.6%,46.3%,23.3%,0.91,31.4%,51.6%,17.1%,-0.6,0.3%,-6.6,31%,72%,55%,torrean02
Justin Turner,27,185,.340,113,.301,.123,1.1%,13.0%,4.9%,18.2%,47.3%,31.8%,0.90,14.9%,66.2%,18.9%,0.5,0.2%,4.4,31%,50%,36%,turneju01
Jordany Valdespin,24,206,.326,98,.273,.183,3.9%,21.4%,4.9%,13.3%,45.3%,20.7%,1.00,32.7%,50.0%,17.3%,0.1,0.9%,0.7,39%,77%,29%,valdejo02
David Wright,29,670,.380,144,.347,.186,3.1%,16.7%,12.1%,19.2%,43.2%,33.3%,0.76,22.2%,58.6%,19.2%,4.1,3.1%,38.7,29%,60%,48%,wrighda03
Chris Young,33,36,.157,-38,.200,.065,0.0%,30.6%,2.8%,25.0%,29.2%,20.8%,0.58,20.8%,54.2%,25.0%,-0.5,-0.1%,-4.2,0%,,,youngch03
League Average,,,.323,93,.299,.146,2.5%,20.1%,7.9%,19.1%,44.8%,26.6%,0.86,26.9%,55.4%,17.7%,,,,29%,73%,41%,-9999
Team Total,,6091,.316,93,.298,.137,2.3%,20.5%,8.3%,19.3%,44.5%,27.2%,0.84,26.1%,56.4%,17.6%,-1.0,3.5%,-19.3,29%,68%,42%,-9999
