--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tylor Megill,25,31,.242,39,.545,.107,0.0%,54.8%,3.2%,81.0,46.2%,23.1%,61.5%,0.0%,2.67,7.7%,46.2%,46.2%,-0.3,-0.2%,-4.5,14%,,0%,megilty01
Tomás Nido,27,161,.269,60,.292,.105,1.9%,27.3%,3.1%,88.7,43.1%,33.9%,42.2%,23.9%,0.73,22.9%,65.1%,11.9%,0.2,0.2%,-4.0,33%,100%,20%,nidoto01
Brandon Nimmo,28,386,.372,137,.366,.145,2.1%,20.5%,14.0%,88.6,41.5%,27.4%,47.2%,18.5%,0.91,23.8%,54.4%,21.8%,0.5,0.2%,17.7,30%,56%,50%,nimmobr01
Stephen Nogosek,26,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.5,,,,nogosst01
Corey Oswalt,27,2,,,,,0.0%,0.0%,0.0%,21.9,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,oswalco01
Jose Peraza,27,154,.288,74,.209,.176,3.9%,16.9%,5.8%,84.6,25.0%,16.4%,34.5%,37.1%,0.54,33.6%,48.3%,18.1%,0.4,0.5%,-1.9,42%,100%,50%,perazjo01
David Peterson,25,20,.116,-73,.167,.063,0.0%,50.0%,0.0%,66.5,33.3%,11.1%,55.6%,0.0%,5.00,0.0%,66.7%,33.3%,-0.3,-0.3%,-3.1,100%,,100%,peterda01
Kevin Pillar,32,347,.311,92,.261,.185,4.3%,23.3%,3.2%,85.8,31.8%,19.2%,35.9%,30.6%,0.56,32.7%,49.0%,18.4%,-0.1,-0.8%,2.0,31%,57%,38%,pillake01
Jake Reed,28,1,.000,-129,.000,.000,0.0%,0.0%,0.0%,86.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.5,,,,reedja02
Sean Reid-Foley,25,2,.696,364,,,0.0%,0.0%,100.0%,,,,,,,,,,0.1,0.0%,0.8,0%,,,reidfse01
Chance Sisco,26,10,.194,8,.167,.111,0.0%,30.0%,10.0%,82.3,20.0%,16.7%,50.0%,0.0%,1.00,66.7%,16.7%,16.7%,-0.2,-0.1%,-1.6,50%,,,siscoch01
Dominic Smith,26,493,.295,80,.298,.119,2.2%,22.7%,6.5%,89.0,40.6%,27.6%,39.4%,28.5%,0.65,30.6%,54.4%,15.0%,-1.4,-0.6%,-12.9,23%,67%,39%,smithdo02
Drew Smith,27,1,.000,-129,.000,.000,0.0%,0.0%,0.0%,72.8,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.1,,,,smithdr01
Robert Stock,31,2,.000,-129,.000,.000,0.0%,50.0%,0.0%,78.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.8,,,,stockro01
Marcus Stroman,30,58,.179,-11,.185,.039,0.0%,41.4%,6.9%,65.8,13.3%,16.7%,36.7%,6.7%,1.22,20.0%,70.0%,10.0%,-0.7,-0.5%,-7.9,22%,100%,33%,stromma01
Thomas Szapucki,25,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,szaputh01
Wilfredo Tovar,29,12,.200,12,.286,.000,0.0%,33.3%,8.3%,69.7,0.0%,28.6%,57.1%,0.0%,1.33,42.9%,42.9%,14.3%,-0.1,-0.1%,-1.0,0%,,,tovarwi01
Nick Tropeano,30,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,tropeni01
Jonathan Villar,30,505,.323,100,.313,.167,3.6%,26.1%,9.1%,87.1,35.0%,21.9%,47.8%,23.5%,0.95,29.0%,52.8%,18.2%,-0.7,-0.3%,-10.8,31%,67%,49%,villajo01
Taijuan Walker,28,51,.119,-51,.278,.000,0.0%,56.9%,2.0%,75.9,22.2%,20.0%,55.0%,5.0%,2.20,15.0%,60.0%,25.0%,-1.0,-0.8%,-10.9,0%,,0%,walketa01
Mason Williams,29,37,.254,60,.261,.121,2.7%,24.3%,10.8%,85.9,25.0%,16.7%,50.0%,29.2%,1.00,45.8%,37.5%,16.7%,-0.3,-0.2%,-2.7,20%,0%,75%,willima10
Trevor Williams,29,8,.128,-58,.250,.000,0.0%,37.5%,0.0%,70.9,20.0%,0.0%,80.0%,0.0%,,20.0%,80.0%,0.0%,-0.2,-0.1%,-1.6,0%,,0%,willitr01
Jordan Yamamoto,25,2,.449,189,1.000,.000,0.0%,50.0%,0.0%,101.8,100.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,0.2,0%,,,yamamjo01
League Average,,,.322,94,.292,.165,3.2%,23.5%,8.9%,87.6,38.1%,23.4%,42.8%,25.6%,0.77,28.5%,54.0%,17.6%,,,,31%,75%,40%,-9999
Team Total,,5856,.315,94,.291,.152,3.0%,23.8%,8.5%,87.4,38.0%,23.1%,43.5%,25.2%,0.79,28.1%,53.7%,18.1%,-9.3,-6.7%,-62.8,28%,68%,37%,-9999
