--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
John Andreoli,28,6,.265,64,.333,.000,0.0%,33.3%,16.7%,89.5,33.3%,66.7%,0.0%,33.3%,0.00,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9,0%,,,andrejo03
Gordon Beckham,31,50,.236,37,.242,.023,0.0%,22.0%,8.0%,86.9,22.6%,14.3%,40.0%,34.3%,0.74,37.1%,40.0%,22.9%,-0.3,-0.1%,-3.7,21%,100%,50%,beckhgo01
Christian Bergman,30,2,.447,195,.500,.000,0.0%,0.0%,0.0%,57.9,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,0.2,0%,,,bergmch01
Robinson Canó,35,348,.371,140,.329,.168,2.9%,13.5%,9.2%,93.6,54.2%,26.4%,48.7%,21.1%,0.95,31.1%,51.9%,17.0%,1.3,0.4%,17.0,28%,,35%,canoro01
Nelson Cruz,37,591,.360,132,.264,.252,6.3%,20.6%,9.3%,95.0,56.3%,20.3%,44.8%,27.0%,0.81,26.1%,55.6%,18.3%,2.4,1.6%,21.8,20%,100%,30%,cruzne02
Roenis Elías,29,2,.447,195,1.000,.000,0.0%,50.0%,0.0%,74.0,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.2,0%,,,eliasro01
David Freitas,29,106,.261,59,.284,.097,0.9%,23.6%,7.6%,90.1,36.4%,31.9%,43.5%,20.3%,0.79,27.5%,55.1%,17.4%,-0.8,-0.5%,-7.3,30%,,22%,freitda01
Ben Gamel,26,293,.324,106,.352,.097,0.3%,20.8%,10.6%,89.0,35.5%,32.0%,48.7%,17.3%,0.95,30.1%,49.0%,20.9%,-0.1,0.1%,1.8,33%,70%,47%,gamelbe01
Marco Gonzales,26,3,.000,-239,,.000,0.0%,66.7%,0.0%,,,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-1.1,,,,gonzama02
Mitch Haniger,27,683,.377,144,.336,.208,3.8%,21.7%,10.3%,90.6,45.6%,26.2%,43.3%,24.2%,0.76,29.5%,56.8%,13.7%,3.3,2.6%,29.1,29%,80%,32%,hanigmi01
Ryon Healy,26,524,.302,90,.257,.176,4.6%,21.6%,5.2%,90.0,44.4%,22.8%,45.3%,23.3%,0.84,27.0%,56.8%,16.2%,-0.3,0.1%,-7.1,22%,,31%,healyry01
Guillermo Heredia,27,337,.300,92,.270,.106,1.5%,15.4%,9.5%,86.0,31.5%,24.9%,41.4%,21.7%,0.77,25.3%,50.2%,24.5%,0.5,0.1%,-3.0,23%,33%,49%,heredgu01
Félix Hernández,32,4,.000,-126,.000,.000,0.0%,0.0%,0.0%,77.8,0.0%,0.0%,50.0%,0.0%,,50.0%,50.0%,0.0%,-0.3,-0.1%,-2.4,,,,hernafe02
Chris Herrmann,30,87,.321,104,.314,.184,2.3%,27.6%,11.5%,90.8,58.3%,28.3%,34.0%,32.1%,0.51,30.2%,49.1%,20.8%,-0.6,-0.5%,-1.7,15%,,33%,herrmch01
Mike Leake,30,4,.000,-126,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-1.0,,,,leakemi01
Wade LeBlanc,33,4,.298,84,1.000,.000,0.0%,50.0%,0.0%,91.7,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,-0.5,0%,,,leblawa01
Mike Marjama,28,29,.189,22,.143,.111,0.0%,20.7%,6.9%,90.5,52.9%,19.0%,57.1%,9.5%,1.33,28.6%,42.9%,28.6%,-0.3,-0.2%,-4.2,20%,0%,50%,marjami01
Cameron Maybin,31,97,.291,79,.300,.077,1.0%,20.6%,6.2%,85.5,35.8%,25.4%,52.1%,15.5%,1.09,15.5%,60.6%,23.9%,-0.5,-0.4%,-1.8,41%,100%,25%,maybica01
Taylor Motter,28,17,.409,168,.333,.200,5.9%,29.4%,11.8%,93.3,77.8%,20.0%,50.0%,20.0%,1.00,40.0%,50.0%,10.0%,0.1,0.0%,0.3,20%,,0%,motteta01
Kristopher Negrón,32,30,.251,43,.263,.103,3.3%,30.0%,3.3%,87.3,27.8%,15.0%,55.0%,25.0%,1.38,5.0%,80.0%,15.0%,0.0,0.0%,-1.5,46%,100%,33%,negrokr01
Erasmo Ramirez,28,3,.000,-126,.000,.000,0.0%,66.7%,0.0%,89.7,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.6,,,,ramirer02
Andrew Romine,32,131,.238,41,.313,.034,0.0%,29.8%,5.3%,80.5,18.9%,27.4%,40.5%,17.9%,0.76,26.2%,46.4%,27.4%,-1.5,-1.2%,-12.5,28%,100%,25%,rominan01
Kyle Seager,30,630,.289,82,.251,.178,3.5%,21.9%,6.0%,90.4,42.5%,24.9%,34.5%,32.1%,0.53,36.2%,50.9%,12.9%,-0.3,-0.7%,-15.4,27%,50%,38%,seageky01
Jean Segura,28,632,.333,114,.327,.111,1.6%,10.9%,5.1%,88.1,36.2%,21.1%,51.8%,19.5%,1.12,21.9%,58.2%,20.0%,1.7,1.4%,7.7,40%,65%,49%,segurje01
Denard Span,34,328,.329,110,.307,.163,2.1%,16.8%,7.0%,87.3,30.8%,31.4%,42.0%,18.8%,0.75,31.8%,49.0%,19.2%,0.7,0.8%,-1.6,28%,60%,46%,spande01
Dee Strange-Gordon,30,588,.284,76,.304,.081,0.7%,13.6%,1.5%,82.8,14.1%,24.3%,52.9%,14.3%,1.29,29.0%,52.1%,18.8%,-1.5,-1.3%,-24.6,35%,71%,55%,gordode01
Ichiro Suzuki,44,47,.207,23,.243,.000,0.0%,14.9%,6.4%,81.3,2.9%,13.5%,54.1%,21.6%,1.25,27.0%,51.4%,21.6%,-0.4,-0.2%,-3.5,39%,,40%,suzukic01
Zach Vincej,27,4,.447,195,.667,.000,0.0%,25.0%,0.0%,74.7,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.1,0.1%,0.4,0%,,,vinceza01
Daniel Vogelbach,25,102,.317,101,.246,.161,3.9%,25.5%,12.8%,92.7,54.2%,27.9%,47.5%,21.3%,0.91,37.7%,50.8%,11.5%,0.0,-0.4%,-0.8,17%,,20%,vogelda01
Mike Zunino,27,405,.290,82,.268,.209,4.9%,37.0%,5.9%,90.4,48.8%,20.4%,38.2%,31.1%,0.62,40.4%,43.6%,16.0%,-1.4,-0.8%,-19.5,20%,,16%,zuninmi01
League Average,,,.323,99,.294,.166,3.1%,21.9%,8.3%,88.8,39.2%,25.1%,42.4%,23.7%,0.75,29.0%,52.6%,18.4%,,,,30%,73%,41%,-9999
Team Total,,6087,.318,102,.295,.154,2.9%,20.1%,7.1%,89.1,39.1%,24.5%,45.1%,22.6%,0.85,29.0%,53.0%,18.0%,1.4,0.6%,-36.4,28%,68%,38%,-9999
