--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Curt Casali,33,50,.277,79,.160,.100,2.0%,28.0%,18.0%,87.1,36.0%,11.5%,23.1%,38.5%,0.30,26.9%,46.2%,26.9%,-0.4,-0.3%,-3.6,43%,,60%,casalcu01
J.P. Crawford,27,603,.309,103,.275,.093,1.0%,13.3%,11.3%,84.6,29.8%,27.2%,45.4%,18.2%,0.85,27.2%,53.5%,19.3%,-0.6,0.0%,-5.5,26%,60%,37%,crawfjp01
Drew Ellis,26,3,.299,96,.500,.000,0.0%,33.3%,0.0%,75.5,0.0%,50.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,-0.1,0.0%,-0.3,0%,,,ellisdr01
Stuart Fairchild,26,3,.000,-122,.000,.000,0.0%,66.7%,0.0%,84.7,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.5,,,,faircst01
Mike Ford,29,38,.289,88,.294,.034,0.0%,31.6%,21.1%,92.3,47.1%,17.6%,58.8%,5.9%,1.43,52.9%,47.1%,0.0%,0.1,0.0%,1.6,7%,,25%,fordmi01
Ty France,27,613,.345,129,.296,.162,3.3%,15.3%,5.7%,87.6,37.1%,25.5%,47.8%,21.2%,0.92,26.0%,51.5%,22.5%,1.7,1.1%,25.6,24%,,30%,francty01
Adam Frazier,30,602,.276,79,.268,.072,0.5%,12.1%,7.6%,84.5,24.5%,27.8%,40.4%,23.8%,0.69,30.3%,53.1%,16.5%,-2.7,-1.0%,-22.3,33%,65%,43%,fraziad01
Sam Haggerty,28,201,.343,117,.333,.148,2.5%,26.4%,9.0%,83.4,24.6%,24.6%,41.3%,20.6%,0.76,31.0%,52.4%,16.7%,-0.1,-0.1%,1.4,32%,93%,44%,haggesa01
Mitch Haniger,31,247,.334,120,.293,.183,4.5%,26.3%,8.1%,91.9,47.2%,23.0%,37.3%,29.2%,0.59,29.8%,52.2%,18.0%,0.3,0.1%,6.4,31%,,25%,hanigmi01
Travis Jankowski,31,1,.000,-122,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,jankotr01
