--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Dustin Ackley,28,70,.205,8,.170,.000,0.0%,12.9%,11.4%,86.6,29.2%,18.9%,41.5%,28.3%,0.71,28.3%,58.5%,13.2%,-0.2,-0.1%,-4.0,35%,,80%,ackledu01
Tyler Austin,24,90,.335,101,.357,.217,5.6%,40.0%,7.8%,89.2,39.5%,19.1%,42.6%,31.9%,0.74,27.7%,48.9%,23.4%,1.2,0.3%,2.3,9%,100%,20%,austity01
Carlos Beltrán,39,387,.375,132,.321,.242,5.7%,18.1%,5.7%,91.1,42.8%,24.9%,39.9%,24.6%,0.67,35.3%,50.3%,14.4%,1.4,0.5%,15.7,25%,,39%,beltrca01
Billy Butler,30,32,.375,132,.429,.172,3.1%,25.0%,6.3%,87.7,33.3%,31.8%,40.9%,27.3%,0.69,9.1%,63.6%,27.3%,0.0,0.0%,0.1,18%,,25%,butlebi03
Starlin Castro,26,610,.325,94,.305,.163,3.4%,19.3%,3.9%,89.0,38.9%,24.5%,49.9%,20.6%,1.00,25.1%,55.0%,19.9%,-0.2,0.3%,-5.8,26%,100%,37%,castrst01
Ike Davis,29,15,.225,22,.333,.000,0.0%,33.3%,6.7%,85.3,33.3%,22.2%,55.6%,22.2%,1.25,33.3%,44.4%,22.2%,-0.3,-0.1%,-1.5,40%,,0%,davisik02
Jacoby Ellsbury,32,626,.316,88,.295,.111,1.4%,13.4%,8.6%,87.4,35.8%,26.2%,46.2%,17.7%,0.87,32.8%,53.0%,14.3%,0.4,-0.1%,-2.5,32%,71%,32%,ellsbja01
Nathan Eovaldi,26,7,.115,-84,.000,.000,0.0%,57.1%,14.3%,,,0.0%,50.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-1.5,0%,,,eovalna01
Ben Gamel,24,10,.265,46,.143,.000,0.0%,10.0%,10.0%,91.1,33.3%,0.0%,87.5%,0.0%,,37.5%,62.5%,0.0%,0.0,0.0%,-0.7,50%,,100%,gamelbe01
Brett Gardner,32,634,.324,93,.310,.101,1.1%,16.7%,11.0%,86.3,26.7%,22.4%,50.7%,18.9%,1.08,27.0%,55.8%,17.2%,0.9,0.2%,4.4,34%,80%,56%,gardnbr01
Chad Green,25,4,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.2,-0.1%,-1.4,,,,greench03
Didi Gregorius,26,597,.327,96,.290,.171,3.4%,13.7%,3.2%,85.7,28.9%,24.5%,39.8%,24.7%,0.69,31.0%,52.0%,17.0%,-1.1,-0.7%,-5.8,30%,88%,45%,gregodi01
Chase Headley,32,529,.318,89,.306,.133,2.7%,22.3%,9.6%,87.4,35.5%,25.1%,44.6%,24.0%,0.81,31.8%,51.7%,16.5%,-0.3,-0.4%,-6.1,27%,80%,40%,headlch01
Aaron Hicks,26,361,.275,61,.248,.119,2.2%,18.8%,8.3%,89.7,39.6%,22.4%,45.6%,23.2%,0.86,35.1%,51.7%,13.1%,-1.5,-0.8%,-15.5,24%,43%,50%,hicksaa01
Aaron Judge,24,95,.272,60,.282,.167,4.2%,44.2%,9.5%,95.5,59.5%,20.9%,34.9%,34.9%,0.54,24.4%,58.5%,17.1%,-0.2,-0.2%,-5.0,29%,0%,38%,judgeaa01
Brian McCann,32,492,.331,100,.269,.170,4.1%,20.1%,11.0%,89.6,40.1%,22.6%,34.9%,30.1%,0.54,41.8%,45.7%,12.5%,0.0,-0.1%,-0.6,25%,100%,16%,mccanbr01
Iván Nova,29,4,.000,-142,.000,.000,0.0%,75.0%,0.0%,76.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.7,,,,novaiv01
Chris Parmelee,28,8,.763,416,.667,.875,25.0%,37.5%,0.0%,97.7,80.0%,40.0%,40.0%,20.0%,0.67,20.0%,60.0%,20.0%,0.3,0.1%,2.0,100%,,50%,parmech01
Michael Pineda,27,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,pinedmi01
Rob Refsnyder,25,175,.301,78,.304,.059,0.0%,17.1%,10.3%,89.3,43.0%,29.6%,52.8%,15.2%,1.12,25.8%,54.8%,19.4%,-0.5,-0.4%,-7.9,41%,67%,35%,refsnro01
Alex Rodriguez,40,243,.264,48,.237,.151,3.7%,27.6%,5.8%,90.7,43.4%,23.6%,46.0%,22.4%,0.85,29.8%,49.1%,21.1%,-1.0,-0.6%,-13.6,20%,100%,7%,rodrial01
Austin Romine,27,176,.280,61,.271,.139,2.3%,17.6%,4.0%,86.6,31.0%,23.2%,46.4%,22.5%,0.90,20.4%,57.7%,21.9%,-0.2,-0.2%,-4.1,30%,100%,36%,rominau01
CC Sabathia,35,2,.000,-385,.000,.000,0.0%,0.0%,0.0%,35.1,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,sabatc.01
Gary Sanchez,23,229,.422,166,.317,.358,8.7%,24.9%,10.5%,94.1,55.0%,24.0%,49.3%,18.5%,0.97,35.9%,52.1%,12.0%,0.8,0.3%,13.7,21%,100%,29%,sanchga02
Donovan Solano,28,23,.297,75,.222,.227,4.4%,13.0%,4.4%,90.7,50.0%,21.1%,47.4%,26.3%,0.90,26.3%,42.1%,31.6%,-0.2,-0.1%,-0.4,67%,,25%,solando01
Masahiro Tanaka,27,2,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8,,,,tanakma01
Mark Teixeira,36,438,.291,70,.238,.158,3.4%,24.0%,10.7%,88.9,41.2%,25.0%,44.0%,23.9%,0.79,41.4%,44.6%,13.9%,-1.4,-1.1%,-11.5,25%,100%,24%,teixema01
Ronald Torreyes,23,169,.309,84,.289,.116,0.6%,11.8%,5.9%,85.4,25.6%,23.4%,54.7%,14.6%,1.23,29.4%,58.8%,11.8%,-0.7,-0.5%,-3.3,32%,67%,53%,torrero01
Mason Williams,24,29,.292,70,.533,.037,0.0%,41.4%,3.5%,92.0,33.3%,43.8%,37.5%,12.5%,0.67,12.5%,81.3%,6.3%,0.2,0.1%,-2.0,36%,,100%,willima10
Eric Young Jr.,31,1,.240,-140,.000,.000,0.0%,0.0%,0.0%,107.9,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,50%,100%,,younger03
League Average,,,.326,99,.298,.165,3.2%,20.7%,8.0%,89.0,39.5%,24.9%,43.9%,22.3%,0.80,30.2%,50.3%,19.4%,,,,30%,72%,40%,-9999
