--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Arismendy Alcántara,24,19,.161,12,.364,.053,0.0%,42.1%,0.0%,82.1,40.0%,9.1%,63.6%,27.3%,1.75,27.3%,27.3%,45.5%,-0.4,0.0%,-3.1,22%,50%,0%,alcanar01
Yonder Alonso,29,532,.305,88,.284,.114,1.3%,13.9%,8.5%,88.5,40.3%,28.2%,44.4%,19.4%,0.81,35.6%,49.8%,14.6%,0.1,-0.5%,-3.2,28%,75%,35%,alonsyo01
Billy Burns,26,292,.259,49,.261,.069,0.0%,10.3%,3.4%,81.2,14.9%,22.2%,51.6%,11.3%,1.17,27.1%,50.6%,22.3%,-1.3,-0.6%,-17.9,41%,82%,47%,burnsbi02
Billy Butler,30,242,.325,103,.308,.127,1.7%,14.1%,7.9%,90.9,46.0%,32.8%,43.4%,19.0%,0.77,24.5%,51.6%,23.9%,0.3,-0.2%,2.1,26%,,22%,butlebi03
Mark Canha,27,44,.186,7,.105,.220,6.8%,45.5%,0.0%,93.3,47.6%,30.4%,34.8%,17.4%,0.57,26.1%,43.5%,30.4%,-0.1,-0.1%,-4.9,33%,0%,0%,canhama01
Chris Coghlan,31,172,.213,21,.170,.127,2.9%,27.3%,7.6%,87.8,33.7%,18.9%,48.6%,27.9%,0.96,29.7%,45.9%,24.3%,-1.6,-0.7%,-11.6,28%,50%,38%,coghlch01
Coco Crisp,36,434,.312,94,.254,.165,2.5%,15.0%,8.5%,85.5,25.4%,30.1%,39.8%,23.5%,0.68,35.3%,48.3%,16.3%,0.5,0.1%,6.9,29%,58%,50%,crispco01
Khris Davis,28,610,.350,122,.270,.277,6.9%,27.2%,6.9%,92.6,53.4%,22.8%,43.1%,27.4%,0.76,25.4%,53.2%,21.4%,1.1,0.0%,14.0,30%,33%,35%,daviskh01
Ross Detwiler,30,2,.000,-370,,.000,0.0%,50.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.4,,,,detwiro01
Brett Eibner,27,123,.245,50,.188,.138,2.4%,22.0%,10.6%,85.5,31.5%,18.1%,43.4%,21.7%,0.78,28.0%,40.2%,31.7%,-0.3,0.0%,-6.9,23%,0%,56%,eibnebr01
Kendall Graveman,25,5,.000,-194,.000,.000,0.0%,60.0%,0.0%,89.0,0.0%,0.0%,50.0%,0.0%,,50.0%,0.0%,50.0%,-0.1,0.0%,-1.3,,,,graveke01
Sonny Gray,26,3,.000,-253,.000,.000,0.0%,33.3%,0.0%,67.4,0.0%,0.0%,50.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-1.2,,,,grayso01
Jesse Hahn,26,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,hahnje01
Ryon Healy,24,283,.373,138,.352,.219,4.6%,21.2%,4.2%,89.3,44.0%,28.6%,40.5%,22.9%,0.69,28.1%,51.0%,21.0%,-0.3,0.0%,3.5,28%,,30%,healyry01
Tyler Ladendorf,28,50,.093,-78,.114,.000,0.0%,26.0%,2.0%,85.2,17.2%,25.0%,36.1%,19.4%,0.65,20.6%,58.8%,20.6%,-0.7,-0.2%,-10.5,35%,100%,56%,ladenty01
Andrew Lambo,27,1,.000,-135,.000,.000,0.0%,0.0%,0.0%,82.9,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.5,,,,lamboan01
Jed Lowrie,32,369,.282,71,.316,.059,0.5%,17.6%,7.1%,85.8,26.5%,28.2%,42.6%,23.5%,0.75,30.2%,43.6%,26.2%,-1.0,0.1%,-13.6,25%,,33%,lowrije01
Ryan Madson,35,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,madsory01
Sean Manaea,24,2,.000,-135,.000,.000,0.0%,50.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.5,,,,manaese01
Bruce Maxwell,25,101,.320,99,.368,.120,1.0%,23.8%,7.9%,91.9,51.6%,29.0%,53.6%,13.0%,1.16,24.6%,50.7%,24.6%,0.6,0.0%,2.6,21%,,33%,maxwebr01
Matt McBride,31,44,.260,55,.273,.070,0.0%,22.7%,2.3%,84.8,17.9%,30.3%,24.2%,30.3%,0.32,33.3%,51.5%,15.2%,0.1,0.1%,-1.5,40%,,67%,mcbrima02
Daniel Mengden,23,6,.000,-135,.000,.000,0.0%,50.0%,0.0%,80.7,33.3%,0.0%,66.7%,33.3%,2.00,0.0%,66.7%,33.3%,-0.1,0.0%,-1.2,,,,mengdda01
Max Muncy,25,133,.267,60,.218,.071,1.5%,18.1%,15.0%,84.2,29.6%,23.6%,50.6%,18.0%,1.10,43.7%,42.5%,13.8%,-0.9,0.0%,-5.2,27%,,50%,muncyma01
Zach Neal,27,2,.000,-135,.000,.000,0.0%,0.0%,0.0%,78.8,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,0.0%,-0.8,,,,nealza01
Renato Núñez,22,15,.119,-48,.167,.000,0.0%,20.0%,0.0%,80.9,25.0%,16.7%,75.0%,0.0%,3.00,33.3%,58.3%,8.3%,-0.3,0.0%,-3.1,0%,,0%,nunezre01
Matt Olson,22,28,.249,47,.118,.048,0.0%,14.3%,25.0%,92.5,26.7%,11.8%,47.1%,29.4%,0.89,35.3%,52.9%,11.8%,-0.2,0.0%,-1.5,33%,,50%,olsonma02
Josh Phegley,28,86,.321,99,.292,.115,1.2%,15.1%,5.8%,87.0,31.1%,27.3%,39.4%,27.3%,0.65,24.2%,51.5%,24.2%,-0.1,0.0%,-0.2,39%,,27%,phegljo01
Chad Pinder,24,55,.272,64,.297,.137,1.8%,25.5%,5.5%,89.7,51.4%,18.4%,50.0%,28.9%,1.00,23.7%,55.3%,21.1%,-0.1,0.0%,-3.3,20%,,,pindech01
Josh Reddick,29,272,.379,139,.317,.152,2.9%,12.5%,10.3%,88.7,36.0%,26.7%,42.9%,21.0%,0.76,34.4%,50.2%,15.3%,1.0,0.4%,9.1,27%,100%,60%,reddijo01
Marcus Semien,25,621,.327,103,.268,.197,4.4%,22.4%,8.2%,88.3,38.9%,24.1%,39.9%,29.0%,0.67,27.0%,52.0%,21.0%,-1.3,-0.2%,-0.6,28%,83%,50%,semiema01
Jake Smolinski,27,319,.284,74,.257,.107,2.2%,13.8%,6.0%,88.2,36.5%,27.3%,42.6%,18.9%,0.75,32.4%,46.2%,21.5%,-0.4,0.1%,-14.9,23%,33%,15%,smolija01
Andrew Triggs,27,2,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,,triggan01
Danny Valencia,31,517,.351,122,.346,.159,3.3%,22.2%,7.9%,90.7,45.4%,28.5%,46.1%,17.6%,0.85,23.3%,53.4%,23.3%,0.2,0.3%,9.1,34%,50%,33%,valenda01
Stephen Vogt,31,532,.316,96,.275,.155,2.6%,15.6%,6.6%,86.3,30.2%,28.0%,30.5%,31.0%,0.44,32.6%,47.8%,19.6%,0.2,-0.1%,1.2,27%,,34%,vogtst01
Joey Wendle,26,104,.305,85,.296,.042,1.0%,15.4%,5.8%,91.5,39.5%,29.3%,53.7%,13.4%,1.19,34.1%,45.1%,20.7%,-0.4,0.0%,-1.5,32%,100%,67%,wendljo01
League Average,,,.326,99,.298,.165,3.2%,20.7%,8.0%,89.0,39.5%,24.9%,43.9%,22.3%,0.80,30.2%,50.3%,19.4%,,,,30%,72%,40%,-9999
Team Total,,6022,.310,91,.280,.149,2.8%,19.0%,7.3%,88.1,36.7%,26.4%,42.6%,22.6%,0.76,29.8%,49.5%,20.8%,-5.7,-1.7%,-61.8,29%,68%,38%,-9999
