--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Brandon Allen,26,7,.128,-39,.000,.000,0.0%,71.4%,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,-0.1%,-1.4,0%,,,allenbr01
Grant Balfour,34,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,balfogr01
Daric Barton,26,136,.296,83,.275,.088,0.7%,23.5%,16.2%,18.5%,42.0%,21.0%,0.72,38.3%,46.9%,14.8%,0.0,0.2%,0.1,16%,100%,44%,bartoda02
Travis Blackley,29,2,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.7,,,,blacktr01
Chris Carter,25,260,.373,141,.295,.275,6.2%,31.9%,15.0%,17.4%,34.8%,37.0%,0.53,37.7%,43.5%,18.8%,1.2,0.7%,15.2,29%,,32%,cartech02
Yoenis Céspedes,26,540,.379,143,.326,.214,4.3%,18.9%,8.0%,18.8%,40.5%,27.8%,0.68,25.3%,59.3%,15.5%,3.8,4.2%,32.0,28%,80%,46%,cespeyo01
Bartolo Colon,39,4,.000,-133,.000,.000,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.8,,,,colonba01
Collin Cowgill,26,116,.287,85,.351,.048,0.9%,23.3%,9.5%,19.2%,55.1%,16.7%,1.23,16.7%,67.9%,15.4%,0.1,-0.2%,-2.2,22%,43%,33%,cowgico01
Coco Crisp,32,508,.340,106,.280,.158,2.2%,12.6%,8.9%,17.8%,43.9%,28.1%,0.82,32.6%,52.1%,15.3%,1.6,2.5%,15.4,37%,91%,38%,crispco01
Josh Donaldson,26,294,.310,93,.278,.157,3.1%,20.8%,4.8%,23.4%,40.7%,28.5%,0.69,29.9%,53.3%,16.8%,0.3,1.1%,1.4,33%,80%,48%,donaljo02
Stephen Drew,29,172,.311,96,.306,.132,2.9%,23.8%,10.5%,22.1%,32.7%,31.0%,0.49,25.7%,56.6%,17.7%,-0.1,-0.2%,1.0,31%,50%,13%,drewst01
Jonny Gomes,31,333,.376,143,.348,.229,5.4%,31.2%,13.2%,19.8%,32.2%,35.6%,0.48,27.7%,59.9%,12.4%,2.3,2.2%,17.6,26%,75%,50%,gomesjo01
Brandon Hicks,26,70,.277,68,.267,.219,4.3%,44.3%,8.6%,12.1%,33.3%,48.5%,0.50,48.5%,27.3%,24.2%,0.5,0.3%,-2.2,33%,100%,50%,hicksbr01
Luke Hughes,27,13,.069,-82,.143,.000,0.0%,46.2%,0.0%,14.3%,0.0%,57.1%,0.00,28.6%,42.9%,28.6%,-0.3,-0.2%,-2.2,0%,,,hughelu01
Brandon Inge,35,311,.291,82,.279,.163,3.5%,27.3%,7.7%,19.4%,41.8%,30.8%,0.72,32.8%,50.7%,16.4%,-0.7,-0.3%,-2.2,26%,0%,28%,ingebr01
Kila Ka'aihue,28,139,.310,93,.271,.164,2.9%,20.1%,7.2%,18.0%,42.0%,27.0%,0.74,35.0%,50.0%,15.0%,-0.8,-0.4%,-6.5,24%,100%,38%,kaaihki01
George Kottaras,29,93,.319,101,.218,.259,6.5%,25.8%,8.6%,13.1%,49.2%,34.4%,0.97,34.4%,52.5%,13.1%,0.7,0.7%,6.0,20%,,17%,kottage01
Tommy Milone,25,5,.179,-1,.250,.000,0.0%,20.0%,0.0%,50.0%,25.0%,25.0%,0.33,25.0%,25.0%,50.0%,0.0,0.0%,0.4,100%,,100%,milonto01
Brandon Moss,28,296,.400,161,.359,.306,7.1%,30.4%,8.8%,19.8%,33.9%,40.1%,0.51,35.0%,50.8%,14.1%,2.1,3.2%,16.3,32%,50%,46%,mossbr01
Derek Norris,23,232,.292,79,.255,.148,3.0%,28.5%,9.1%,25.0%,38.9%,22.2%,0.64,29.9%,58.3%,11.8%,0.1,0.8%,-1.6,21%,83%,57%,norride01
Jarrod Parker,23,7,.000,-172,.000,.000,0.0%,57.1%,0.0%,0.0%,33.3%,33.3%,1.00,0.0%,66.7%,33.3%,-0.1,0.0%,-2.0,,,,parkeja02
Cliff Pennington,28,462,.279,70,.259,.096,1.3%,19.5%,7.6%,20.0%,40.3%,30.4%,0.70,29.9%,51.9%,18.2%,-1.4,-1.5%,-10.8,36%,71%,53%,pennicl01
Anthony Recker,28,37,.232,35,.222,.032,0.0%,35.1%,10.8%,5.3%,42.1%,36.8%,0.80,31.6%,57.9%,10.5%,-0.4,-0.2%,-4.1,33%,,50%,reckean01
Josh Reddick,25,673,.334,110,.269,.221,4.8%,22.4%,8.2%,20.2%,29.5%,35.3%,0.42,31.0%,52.5%,16.6%,-2.1,-2.3%,-4.8,31%,92%,49%,reddijo01
Adam Rosales,29,111,.295,83,.270,.111,1.8%,21.6%,9.9%,31.6%,32.9%,27.6%,0.49,30.3%,52.6%,17.1%,-0.6,-0.7%,-4.2,29%,,25%,rosalad01
Tyson Ross,25,2,.000,-133,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.3,,,,rossty01
Seth Smith,29,441,.333,112,.285,.180,3.2%,22.2%,11.3%,20.1%,41.7%,31.9%,0.72,30.2%,55.6%,14.2%,0.1,0.0%,4.3,31%,50%,51%,smithse01
Eric Sogard,26,108,.223,27,.181,.108,1.9%,15.7%,4.6%,20.9%,36.0%,23.3%,0.63,25.6%,58.1%,16.3%,-1.0,-0.7%,-6.0,27%,100%,40%,sogarer01
Kurt Suzuki,28,278,.240,42,.267,.069,0.4%,19.1%,3.2%,16.4%,38.0%,33.3%,0.63,25.8%,58.7%,15.5%,-1.4,-0.9%,-16.9,27%,100%,22%,suzukku01
Michael Taylor,26,21,.145,-27,.273,.048,0.0%,47.6%,0.0%,27.3%,36.4%,27.3%,0.57,18.2%,72.7%,9.1%,-0.1,-0.1%,-3.7,67%,,,taylomi01
Jemile Weeks,25,511,.283,72,.256,.083,0.4%,13.7%,9.8%,15.8%,47.7%,26.7%,0.98,16.1%,61.7%,22.3%,-2.4,-1.5%,-24.8,34%,76%,48%,weeksje01
League Average,,,.324,99,.293,.155,2.9%,19.4%,7.9%,18.6%,44.2%,28.0%,0.82,28.1%,54.7%,17.2%,,,,30%,75%,40%,-9999
Team Total,,6183,.319,99,.281,.166,3.2%,22.4%,8.9%,19.3%,39.3%,30.4%,0.66,28.9%,54.7%,16.4%,1.1,6.6%,12.4,30%,79%,43%,-9999
