--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Aaron Altherr,24,161,.370,132,.301,.248,3.1%,25.5%,9.9%,91.6,48.3%,30.3%,41.4%,19.2%,0.72,20.2%,50.5%,29.3%,1.2,0.0%,10.8,41%,75%,62%,altheaa01
Elvis Araujo,23,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,araujel01
Cody Asche,25,456,.301,84,.304,.151,2.6%,24.3%,5.7%,87.6,40.0%,30.2%,38.4%,21.6%,0.64,42.5%,45.4%,12.1%,0.2,0.0%,-7.3,24%,33%,30%,ascheco01
Alec Asher,23,6,.361,127,.667,.167,0.0%,50.0%,0.0%,97.1,66.7%,66.7%,0.0%,33.3%,0.00,66.7%,33.3%,0.0%,0.0,0.0%,-0.1,0%,,0%,asheral01
Phillippe Aumont,26,1,.693,372,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.3,0%,,,aumonph01
Chad Billingsley,30,14,.229,25,.000,.231,7.1%,35.7%,0.0%,86.7,33.3%,22.2%,44.4%,0.0%,2.00,11.1%,44.4%,44.4%,-0.1,0.0%,-1.3,,,100%,billich01
Andres Blanco,31,261,.382,144,.335,.210,2.7%,16.9%,8.1%,87.3,31.3%,28.1%,44.8%,16.7%,0.84,29.2%,55.2%,15.6%,0.3,0.0%,6.3,28%,50%,38%,blancan01
Brian Bogusevic,31,61,.317,89,.371,.155,3.3%,34.4%,4.9%,91.2,42.9%,32.4%,54.1%,8.1%,1.18,13.5%,64.9%,21.6%,-0.1,0.0%,-1.2,44%,100%,71%,bogusbr01
Domonic Brown,27,204,.293,77,.257,.122,2.5%,17.7%,6.9%,87.4,32.3%,25.5%,45.8%,19.0%,0.84,38.6%,51.0%,10.5%,-1.2,0.0%,-3.0,26%,75%,19%,browndo01
David Buchanan,26,23,.244,38,.333,.050,0.0%,34.8%,8.7%,83.4,0.0%,46.2%,30.8%,7.7%,0.57,15.4%,61.5%,23.1%,-0.2,0.0%,-1.3,33%,,25%,buchada01
Kevin Correia,34,7,.151,-49,.200,.000,0.0%,14.3%,0.0%,63.4,0.0%,16.7%,50.0%,0.0%,1.50,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,0%,,,correke01
Chase d'Arnaud,28,18,.189,21,.300,.118,0.0%,38.9%,5.6%,83.0,25.0%,10.0%,50.0%,30.0%,1.00,0.0%,80.0%,20.0%,0.0,0.0%,-1.2,50%,0%,100%,darnach01
Jordan Danks,28,4,.000,-139,.000,.000,0.0%,50.0%,0.0%,78.5,0.0%,0.0%,50.0%,50.0%,1.00,50.0%,50.0%,0.0%,-0.1,0.0%,-0.6,,,,danksjo02
Justin De Fratus,27,3,.301,83,.500,.000,0.0%,33.3%,0.0%,67.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.2,0%,,0%,defraju01
Jerad Eickhoff,24,16,.129,-64,.286,.000,0.0%,43.8%,0.0%,93.5,66.7%,0.0%,55.6%,11.1%,5.00,22.2%,44.4%,33.3%,0.0,0.0%,0.3,50%,,,eickhje01
Maikel Franco,22,335,.382,143,.297,.217,4.2%,15.5%,7.8%,89.6,42.4%,30.0%,47.8%,13.4%,0.92,28.1%,58.5%,13.4%,1.4,0.2%,16.0,31%,100%,41%,francma02
Jeff Francoeur,31,343,.320,99,.297,.175,3.8%,22.5%,3.8%,88.9,38.2%,29.0%,41.3%,21.0%,0.70,24.2%,62.7%,13.1%,-0.7,-0.1%,-8.0,25%,0%,30%,francje02
Freddy Galvis,25,603,.296,77,.309,.081,1.2%,17.1%,5.0%,85.7,25.6%,26.6%,40.3%,21.2%,0.73,27.2%,52.7%,20.1%,-0.5,0.0%,-8.2,32%,91%,51%,galvifr01
Jeanmar Gomez,27,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,gomezje01
Severino Gonzalez,22,12,.145,-44,.167,.000,0.0%,33.3%,8.3%,79.1,0.0%,14.3%,57.1%,0.0%,2.00,0.0%,57.1%,42.9%,-0.1,0.0%,-1.5,100%,,0%,gonzase01
Cole Hamels,31,43,.148,-43,.250,.026,0.0%,34.9%,0.0%,83.7,36.8%,7.1%,53.6%,3.6%,2.50,21.4%,71.4%,7.1%,-0.9,-0.1%,-7.9,33%,,0%,hamelco01
