--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Colton Murray,26,1,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,murraco02
Aaron Nola,23,35,.120,-58,.077,.033,0.0%,48.6%,8.6%,86.1,42.9%,7.1%,71.4%,0.0%,5.00,7.1%,50.0%,42.9%,-0.7,-0.4%,-7.3,20%,,0%,nolaaa01
Brett Oberholtzer,26,7,.129,-47,.200,.000,0.0%,28.6%,0.0%,84.8,25.0%,0.0%,100.0%,0.0%,,40.0%,40.0%,20.0%,-0.1,0.0%,-0.9,0%,,,oberhbr01
Jimmy Paredes,27,150,.269,56,.281,.133,2.7%,29.3%,3.3%,90.7,43.0%,23.8%,53.5%,16.8%,1.20,30.7%,50.5%,18.8%,-0.7,-0.1%,-3.4,28%,0%,39%,paredji01
Roman Quinn,23,69,.329,90,.395,.070,0.0%,27.5%,11.6%,84.0,20.6%,20.0%,55.0%,17.5%,1.47,20.0%,57.5%,22.5%,0.0,0.0%,1.5,40%,83%,25%,quinnro01
Edubray Ramos,23,1,.697,364,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.3,0%,,0%,ramosed02
Darin Ruf,29,89,.242,39,.246,.133,3.4%,28.1%,4.5%,90.2,46.0%,21.7%,41.7%,23.3%,0.71,26.7%,63.3%,10.0%,-1.4,-0.8%,-8.8,28%,0%,75%,rufda01
Carlos Ruiz,37,193,.339,104,.299,.091,1.6%,14.5%,12.4%,88.2,41.5%,27.7%,46.0%,21.9%,0.85,20.1%,50.0%,29.9%,-0.4,-0.4%,-1.1,22%,75%,27%,ruizca01
Cameron Rupp,27,419,.335,101,.315,.195,3.8%,27.2%,5.7%,92.2,52.6%,23.9%,48.9%,22.1%,0.96,19.0%,54.6%,26.4%,1.2,0.3%,9.2,18%,100%,29%,ruppca01
Jake Thompson,22,17,.146,-63,.222,.071,0.0%,29.4%,0.0%,82.6,37.5%,8.3%,50.0%,16.7%,2.00,8.3%,50.0%,41.7%,-0.4,0.0%,-4.7,0%,,,thompja03
Vince Velasquez,24,44,.214,8,.333,.025,0.0%,36.4%,2.3%,88.4,42.9%,18.5%,59.3%,11.1%,2.00,7.4%,70.4%,22.2%,-0.5,-0.2%,-5.3,44%,,60%,velasvi01
League Average,,,.326,94,.301,.158,2.9%,21.5%,8.3%,88.6,38.5%,26.4%,45.0%,20.2%,0.85,27.9%,52.2%,19.9%,,,,30%,71%,40%,-9999
Team Total,,5992,.307,81,.291,.144,2.7%,23.0%,7.1%,88.6,39.3%,24.9%,46.5%,19.4%,0.92,27.6%,53.2%,19.2%,-7.7,-3.8%,-100.4,27%,68%,39%,-9999
