--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Darin Ruf,26,293,.359,125,.324,.211,4.8%,31.1%,11.3%,24.7%,40.7%,28.4%,0.69,28.6%,56.5%,14.9%,0.1,0.2%,5.1,25%,,33%,rufda01
Carlos Ruiz,34,341,.319,94,.291,.100,1.5%,11.4%,5.3%,23.1%,46.9%,20.9%,0.92,29.6%,49.8%,20.6%,0.4,-0.6%,1.0,24%,100%,54%,ruizca01
Cameron Rupp,24,14,.327,101,.444,.077,0.0%,28.6%,7.1%,33.3%,55.6%,11.1%,1.25,22.2%,55.6%,22.2%,0.1,0.0%,0.7,20%,,0%,ruppca01
Joe Savery,27,1,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,saverjo01
Michael Stutes,26,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,sttuemi01
Steve Susdorf,27,7,.182,-8,.167,.143,0.0%,14.3%,0.0%,16.7%,66.7%,16.7%,2.00,33.3%,50.0%,16.7%,0.0,0.0%,-0.7,100%,,,susdost01
Chase Utley,34,531,.368,131,.305,.191,3.4%,14.9%,8.5%,24.4%,38.1%,29.1%,0.62,33.1%,53.0%,13.9%,2.8,1.2%,28.0,33%,73%,46%,utleych01
Raúl Valdés,35,4,.425,199,.333,.333,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.7,0%,,,valdera02
Casper Wells,28,26,.137,-42,.063,.042,0.0%,30.8%,7.7%,12.5%,68.8%,12.5%,2.20,35.7%,42.9%,21.4%,-0.4,0.0%,-3.5,40%,,67%,wellsca01
Delmon Young,27,291,.316,92,.320,.136,2.8%,23.7%,4.8%,28.3%,43.9%,22.9%,0.78,17.6%,56.1%,26.3%,-0.6,-0.3%,-4.7,18%,,30%,youngde03
Michael Young,36,512,.328,101,.316,.120,1.6%,15.2%,8.2%,25.8%,53.7%,19.2%,1.16,17.4%,59.1%,23.5%,0.2,-0.3%,-5.0,25%,100%,38%,youngmi02
League Average,,,.319,93,.297,.138,2.4%,20.1%,7.7%,23.5%,45.1%,22.3%,0.86,26.5%,55.5%,18.0%,,,,28%,72%,40%,-9999
Team Total,,6014,.313,89,.293,.135,2.3%,20.0%,6.9%,24.1%,44.9%,22.2%,0.85,29.7%,53.5%,16.8%,-2.6,-0.7%,-31.2,27%,72%,41%,-9999
