--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bryan Anderson,26,19,.103,-68,.077,.056,0.0%,26.3%,5.3%,7.7%,23.1%,46.2%,0.30,7.7%,69.2%,23.1%,-0.3,0.0%,-2.6,50%,,,anderbr05
Dylan Axelrod,27,2,.402,153,1.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.0,100%,,100%,axelrdy01
Gordon Beckham,26,408,.314,87,.299,.105,1.2%,13.7%,6.9%,25.6%,36.3%,31.9%,0.57,24.4%,55.3%,20.3%,-1.3,0.1%,-13.3,32%,83%,45%,beckhgo01
John Danks,28,4,.000,-387,.000,.000,0.0%,25.0%,0.0%,0.0%,33.3%,0.0%,,33.3%,33.3%,33.3%,-0.1,0.0%,-1.3,,,,danksjo01
Jordan Danks,26,179,.316,86,.327,.138,2.8%,31.8%,10.1%,25.2%,42.7%,26.2%,0.76,31.1%,50.5%,18.4%,-0.4,0.0%,-4.6,16%,78%,25%,danksjo02
Alejandro De Aza,29,675,.326,96,.318,.142,2.5%,21.8%,7.4%,25.8%,39.4%,24.2%,0.70,30.3%,50.4%,19.3%,0.2,0.1%,-1.2,33%,71%,46%,deazaal01
Adam Dunn,33,607,.335,104,.266,.223,5.6%,31.1%,12.5%,20.6%,40.1%,33.6%,0.67,35.4%,48.4%,16.2%,-0.5,-0.6%,7.1,16%,50%,22%,dunnad01
Tyler Flowers,27,275,.263,52,.261,.160,3.6%,34.2%,5.1%,20.2%,42.3%,28.8%,0.73,31.3%,53.4%,15.3%,-2.7,-0.8%,-22.6,24%,0%,35%,flowety01
Gavin Floyd,30,2,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,floydga01
Avisaíl García,22,168,.333,103,.370,.143,3.0%,22.6%,3.0%,21.0%,51.6%,20.2%,1.07,27.4%,55.6%,16.9%,-0.2,0.0%,-0.2,28%,60%,50%,garciav01
Leury Garcia,22,54,.244,30,.313,.020,0.0%,33.3%,7.4%,21.9%,46.9%,21.9%,0.88,12.5%,62.5%,25.0%,-0.5,0.0%,-4.9,13%,75%,0%,garcile02
Conor Gillaspie,25,452,.305,82,.270,.145,2.9%,17.5%,8.2%,23.0%,38.2%,29.9%,0.62,32.8%,52.2%,14.9%,-0.3,0.0%,-3.6,26%,0%,39%,gillaco01
Hector Gimenez,30,80,.276,59,.234,.147,2.5%,27.5%,8.8%,12.2%,44.9%,36.7%,0.85,26.5%,46.9%,26.5%,-0.4,-0.1%,0.7,30%,,25%,gimenhe01
Miguel Gonzalez,22,9,.290,71,.333,.000,0.0%,33.3%,0.0%,0.0%,66.7%,33.3%,2.00,50.0%,50.0%,0.0%,0.0,0.0%,0.0,0%,,0%,gonzami04
Tyler Greene,29,57,.268,54,.324,.130,1.8%,33.3%,5.3%,22.9%,40.0%,25.7%,0.70,17.1%,54.3%,28.6%,-0.2,-0.1%,-3.5,30%,,44%,greenty02
Jeff Keppinger,33,451,.278,62,.269,.064,0.9%,9.1%,4.4%,22.9%,45.5%,25.2%,0.85,22.1%,60.9%,17.0%,-2.3,-0.8%,-15.3,28%,0%,33%,keppije01
Paul Konerko,37,520,.302,79,.265,.111,2.3%,14.2%,8.7%,26.4%,37.5%,30.2%,0.60,29.0%,51.4%,19.6%,-1.7,-0.2%,-10.4,19%,,8%,konerpa01
Brent Morel,26,30,.252,48,.278,.000,0.0%,23.3%,16.7%,22.2%,61.1%,11.1%,1.57,22.2%,66.7%,11.1%,-0.3,0.0%,-3.1,25%,50%,0%,morelbr01
Jake Peavy,32,6,.000,-144,.000,.000,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,0.50,16.7%,50.0%,33.3%,-0.1,-0.1%,-1.2,,,,peavyja01
Josh Phegley,25,213,.239,30,.236,.093,1.9%,19.3%,2.4%,21.0%,38.9%,25.1%,0.65,34.1%,52.1%,13.8%,-0.9,0.0%,-12.6,23%,100%,18%,phegljo01
José Quintana,24,2,.000,-144,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,,,,quintjo01
Alexei Ramírez,31,674,.317,87,.309,.096,0.9%,10.1%,3.9%,22.2%,48.7%,18.2%,0.98,28.4%,53.2%,18.4%,-1.9,-0.8%,-9.4,30%,77%,52%,ramiral03
Alex Rios,32,465,.340,102,.314,.144,2.6%,16.8%,6.9%,21.5%,44.5%,26.1%,0.80,27.5%,54.7%,17.8%,-0.1,0.1%,4.8,32%,81%,50%,riosal01
Angel Sanchez,29,2,.000,-144,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,,,,sanchan02
Héctor Santiago,25,6,.000,-265,.000,.000,0.0%,16.7%,0.0%,20.0%,40.0%,0.0%,2.00,20.0%,40.0%,40.0%,0.0,0.0%,0.0,,,,santihe01
Marcus Semien,22,71,.307,88,.348,.145,2.8%,31.0%,1.4%,31.3%,29.2%,27.1%,0.41,33.3%,54.2%,12.5%,-0.4,0.0%,-2.0,29%,50%,50%,semiema01
Blake Tekotte,26,36,.256,71,.273,.129,2.8%,25.0%,8.3%,30.4%,30.4%,21.7%,0.44,39.1%,56.5%,4.3%,-0.1,-0.1%,-3.2,19%,25%,50%,tekotbl01
Dayán Viciedo,24,473,.320,92,.308,.161,3.0%,20.7%,5.1%,20.1%,48.6%,25.3%,0.94,20.1%,57.5%,22.4%,0.8,-0.1%,-2.0,22%,,41%,vicieda01
Casper Wells,28,71,.184,-3,.250,.015,0.0%,31.0%,7.0%,18.2%,56.8%,18.2%,1.32,29.5%,59.1%,11.4%,-1.5,-0.2%,-10.6,17%,0%,17%,wellsca01
Dewayne Wise,35,66,.256,48,.286,.094,1.5%,21.2%,3.0%,22.0%,42.0%,24.0%,0.72,24.0%,54.0%,22.0%,-0.1,-0.1%,-3.5,23%,50%,67%,wisede01
League Average,,,.324,99,.297,.147,2.7%,19.9%,8.1%,22.5%,43.6%,24.9%,0.80,28.2%,54.5%,17.3%,,,,29%,74%,39%,-9999
Team Total,,6077,.305,81,.291,.129,2.4%,19.9%,6.8%,22.8%,42.6%,26.2%,0.76,28.1%,53.7%,18.2%,-15.6,-3.8%,-119.9,26%,71%,36%,-9999
