--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
José Abreu,32,693,.351,118,.320,.219,4.8%,21.9%,5.2%,92.8,51.5%,26.6%,46.1%,21.1%,0.86,29.2%,51.8%,19.0%,2.4,0.6%,20.6,27%,50%,33%,abreujo02
Yonder Alonso,32,251,.272,63,.199,.123,2.8%,21.1%,11.6%,88.4,44.2%,22.6%,44.0%,24.4%,0.80,38.1%,48.2%,13.7%,-0.7,-0.3%,-11.4,26%,0%,39%,alonsyo01
Tim Anderson,26,518,.369,128,.399,.173,3.5%,21.0%,2.9%,88.5,40.3%,28.4%,48.1%,20.7%,0.93,21.1%,57.8%,21.1%,1.8,0.8%,10.1,38%,77%,44%,anderti01
Welington Castillo,32,251,.293,77,.247,.209,4.8%,29.5%,6.4%,90.5,47.9%,20.3%,44.9%,24.7%,0.82,27.2%,57.6%,15.2%,0.7,0.5%,-3.9,13%,,6%,castiwe01
Zack Collins,24,102,.285,70,.295,.163,2.9%,38.2%,13.7%,92.0,61.0%,23.4%,34.0%,38.3%,0.52,34.0%,57.4%,8.5%,-0.1,-0.1%,0.6,25%,,14%,colliza01
Ryan Cordell,27,247,.281,67,.287,.134,2.8%,27.9%,7.7%,89.4,39.5%,19.9%,34.6%,25.6%,0.59,27.5%,55.6%,17.0%,0.1,0.2%,-12.2,22%,75%,30%,cordery01
Jimmy Cordero,27,1,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,cordeji01
Dylan Covey,27,2,.000,-129,.000,.000,0.0%,50.0%,0.0%,85.1,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,coveydy01
Nicky Delmonico,26,68,.249,51,.324,.079,1.5%,36.8%,5.9%,87.1,35.1%,23.7%,44.7%,15.8%,0.81,18.4%,71.1%,10.5%,0.0,0.0%,-1.4,29%,0%,83%,delmoni01
Ross Detwiler,33,2,.000,-129,.000,.000,0.0%,50.0%,0.0%,98.0,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.4,,,,detwiro01
Adam Engel,27,248,.293,79,.343,.141,2.4%,31.5%,5.7%,85.8,34.6%,24.0%,44.0%,17.3%,0.87,32.0%,46.0%,22.0%,-0.4,-0.3%,-4.5,27%,50%,50%,engelad01
Carson Fulmer,25,1,.000,-129,.000,.000,0.0%,0.0%,0.0%,102.8,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.5,,,,fulmeca01
Leury Garcia,28,618,.311,88,.353,.099,1.3%,22.5%,3.4%,87.7,32.8%,26.5%,51.8%,15.9%,1.15,27.7%,49.6%,22.8%,-1.6,0.1%,-18.0,47%,75%,52%,garcile02
Lucas Giolito,24,4,.222,26,1.000,.000,0.0%,75.0%,0.0%,89.2,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.3,0%,,,giolilu01
Ryan Goins,31,163,.293,78,.347,.097,1.2%,27.0%,10.4%,87.6,35.5%,24.8%,49.5%,18.8%,1.02,27.7%,49.5%,22.8%,-0.5,0.0%,-8.0,20%,0%,33%,goinsry01
Jon Jay,34,182,.295,77,.324,.048,0.0%,16.5%,4.4%,81.0,14.2%,28.4%,48.9%,17.0%,1.06,22.0%,49.6%,28.4%,-0.7,0.0%,-6.7,22%,,47%,jayjo02
Eloy Jiménez,22,504,.349,116,.308,.246,6.2%,26.6%,6.0%,91.6,50.8%,22.9%,47.6%,23.5%,0.91,23.6%,58.2%,18.2%,0.0,-0.1%,4.6,30%,,33%,jimenel02
Reynaldo López,25,4,.000,-129,.000,.000,0.0%,75.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.9,,,,lopezre01
James McCann,29,476,.345,113,.359,.187,3.8%,28.8%,6.3%,90.5,45.6%,29.7%,43.6%,20.8%,0.78,24.1%,53.8%,22.1%,-0.2,-0.1%,3.3,32%,80%,42%,mccanja02
Danny Mendick,25,40,.350,117,.385,.154,5.0%,27.5%,2.5%,86.5,24.0%,32.1%,39.3%,21.4%,0.69,35.7%,32.1%,32.1%,-0.3,0.0%,-2.4,29%,,25%,mendida01
Yoán Moncada,24,559,.386,141,.406,.233,4.5%,27.6%,7.2%,93.6,50.6%,30.7%,41.3%,22.7%,0.71,30.2%,51.2%,18.6%,2.3,0.3%,27.0,32%,77%,46%,moncayo01
Iván Nova,32,5,.000,-129,.000,.000,0.0%,80.0%,0.0%,63.9,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,novaiv01
Josh Osich,30,1,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,osichjo01
Daniel Palka,27,93,.169,-7,.149,.071,2.2%,37.6%,8.6%,87.8,37.0%,14.3%,49.0%,16.3%,0.96,28.6%,65.3%,6.1%,-1.6,-0.4%,-14.4,12%,0%,33%,palkada01
AJ Reed,26,49,.184,0,.217,.068,2.0%,42.9%,8.2%,89.0,36.4%,12.5%,37.5%,37.5%,0.60,37.5%,45.8%,16.7%,-0.9,0.0%,-5.1,0%,,100%,reedaj01
José Rondon,25,156,.258,51,.248,.085,1.9%,24.4%,7.1%,87.9,35.4%,24.8%,52.4%,18.1%,1.12,28.6%,57.1%,14.3%,-1.4,-0.6%,-16.7,17%,,40%,rondojo02
Yolmer Sanchez,27,555,.293,77,.324,.069,0.4%,21.1%,7.9%,87.1,30.4%,25.7%,41.9%,21.1%,0.76,25.4%,50.6%,23.9%,-2.4,-0.8%,-14.5,33%,56%,36%,sanchca01
Matt Skole,29,80,.232,34,.357,.028,0.0%,38.8%,8.8%,81.6,16.2%,26.2%,40.5%,23.8%,0.68,21.4%,52.4%,26.2%,-0.5,0.0%,-6.4,32%,,29%,skolema01
Charlie Tilson,26,157,.272,58,.305,.056,0.6%,24.2%,6.4%,87.2,34.0%,27.4%,52.8%,15.1%,1.12,33.0%,49.1%,17.9%,0.1,0.1%,-4.6,32%,100%,38%,tilsoch01
Seby Zavala,25,12,.066,-83,.333,.000,0.0%,75.0%,0.0%,78.7,0.0%,33.3%,33.3%,0.0%,0.50,0.0%,66.7%,33.3%,-0.1,0.0%,-2.1,100%,,,zavalse01
League Average,,,.328,99,.297,.185,3.7%,23.0%,8.5%,89.2,40.3%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,17.9%,,,,31%,72%,40%,-9999
Team Total,,6042,.318,94,.329,.153,3.0%,25.6%,6.3%,89.3,40.8%,25.9%,45.6%,20.8%,0.86,27.2%,52.9%,20.0%,-4.6,-0.3%,-70.2,30%,69%,40%,-9999
