--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Mike Aviles,35,181,.253,47,.245,.060,0.6%,14.9%,5.0%,85.3,29.6%,21.0%,52.4%,14.0%,1.15,19.9%,58.1%,22.1%,-1.6,-1.2%,-17.3,35%,50%,42%,avilemi01
Erick Aybar,32,91,.312,89,.279,.100,1.1%,12.1%,12.1%,84.1,18.0%,21.7%,56.5%,13.0%,1.39,44.8%,41.8%,13.4%,0.6,0.6%,3.8,19%,,50%,aybarer01
Miguel Cabrera,33,679,.402,156,.336,.247,5.6%,17.1%,11.1%,94.6,56.2%,29.3%,43.0%,23.3%,0.75,21.7%,53.9%,24.4%,3.1,2.0%,35.4,24%,,20%,cabremi01
Nick Castellanos,24,447,.348,115,.345,.212,4.0%,24.8%,6.3%,89.6,40.6%,30.5%,32.1%,34.8%,0.48,23.9%,53.5%,22.6%,0.9,0.4%,7.8,28%,50%,29%,casteni01
Tyler Collins,26,151,.296,78,.295,.147,2.7%,25.2%,8.6%,91.3,39.8%,22.2%,42.4%,25.3%,0.74,35.4%,49.0%,15.6%,-0.5,-0.5%,-0.5,23%,50%,63%,collity01
Michael Fulmer,23,2,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.5,,,,fulmemi01
Anthony Gose,25,101,.280,69,.333,.132,2.0%,37.6%,8.9%,90.1,40.5%,20.8%,56.6%,17.0%,1.36,35.8%,47.2%,17.0%,-0.2,-0.2%,-6.9,33%,0%,40%,gosean01
Shane Greene,27,2,.000,-139,.000,.000,0.0%,0.0%,0.0%,86.9,0.0%,0.0%,50.0%,50.0%,1.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,greensh02
John Hicks,26,2,.617,312,.500,.500,0.0%,0.0%,0.0%,99.8,100.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.1,100%,,0%,hicksjo02
José Iglesias,26,513,.293,75,.276,.081,0.8%,9.8%,5.5%,83.0,24.6%,22.0%,49.9%,16.6%,1.06,24.1%,49.4%,26.5%,-0.8,-0.8%,-15.3,35%,64%,47%,iglesjo01
JaCoby Jones,24,28,.228,27,.375,.107,0.0%,42.9%,0.0%,94.5,66.7%,25.0%,43.8%,25.0%,0.78,25.0%,56.3%,18.8%,-0.1,-0.1%,-2.9,38%,,100%,jonesja07
Ian Kinsler,34,679,.359,123,.314,.196,4.1%,16.9%,6.6%,87.5,34.1%,30.6%,31.4%,28.5%,0.46,30.1%,51.8%,18.1%,1.5,1.6%,19.3,43%,70%,53%,kinslia01
Dixon Machado,24,13,.228,28,.167,.000,0.0%,30.8%,23.1%,77.3,33.3%,33.3%,50.0%,0.0%,1.00,33.3%,50.0%,16.7%,-0.1,-0.1%,-1.4,20%,,100%,machadi01
J.D. Martinez,28,517,.390,147,.378,.228,4.3%,24.8%,9.5%,91.8,49.8%,27.9%,43.0%,25.2%,0.76,25.5%,54.1%,20.4%,1.4,1.2%,24.5,28%,33%,33%,martijd02
Victor Martinez,37,610,.354,120,.303,.186,4.4%,14.8%,8.2%,90.7,46.3%,26.4%,38.8%,27.0%,0.64,37.3%,44.9%,17.8%,-0.6,-0.5%,3.9,20%,,7%,martivi01
Cameron Maybin,29,391,.359,122,.383,.103,1.0%,17.7%,9.2%,88.5,36.8%,22.3%,56.2%,13.8%,1.36,17.3%,54.2%,28.5%,2.0,1.4%,23.0,41%,71%,50%,maybica01
James McCann,26,373,.272,61,.283,.137,3.2%,29.2%,6.2%,88.6,40.2%,22.2%,39.7%,31.0%,0.68,24.2%,49.4%,26.4%,-2.7,-2.1%,-18.2,21%,0%,19%,mccanja02
Casey McGehee,33,96,.242,37,.269,.011,0.0%,14.6%,3.1%,90.5,39.7%,23.1%,52.6%,20.5%,1.11,15.8%,56.6%,27.6%,-1.5,-1.4%,-12.4,16%,,20%,mcgehca01
Steven Moya,24,100,.324,101,.365,.245,5.0%,38.0%,5.0%,93.1,44.4%,26.3%,40.4%,29.8%,0.68,29.8%,57.9%,12.3%,-0.8,-0.5%,-5.1,17%,0%,13%,moyast01
Daniel Norris,23,3,.231,29,.000,.000,0.0%,0.0%,33.3%,103.1,100.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.7,0%,,,norrida01
Alex Presley,30,5,.178,-9,.200,.000,0.0%,0.0%,0.0%,84.8,20.0%,20.0%,40.0%,40.0%,0.67,60.0%,20.0%,20.0%,-0.1,-0.1%,-1.3,0%,,,preslal01
Andrew Romine,30,194,.303,74,.291,.086,1.0%,19.6%,6.7%,84.2,25.2%,24.5%,51.8%,15.8%,1.14,29.0%,55.1%,15.9%,-0.3,-0.4%,-7.5,26%,100%,47%,rominan01
Jarrod Saltalamacchia,31,292,.283,67,.222,.175,4.1%,35.6%,14.0%,89.8,37.8%,19.7%,31.3%,43.5%,0.46,36.8%,50.0%,13.2%,0.4,-0.2%,-5.0,25%,,27%,saltaja01
Aníbal Sánchez,32,6,.000,-139,.000,.000,0.0%,50.0%,0.0%,52.3,0.0%,0.0%,33.3%,33.3%,1.00,0.0%,66.7%,33.3%,-0.1,-0.1%,-2.2,,,,sanchan01
Justin Upton,28,626,.335,105,.301,.219,5.0%,28.6%,8.0%,92.1,50.3%,27.0%,38.9%,25.4%,0.64,23.5%,52.6%,24.0%,1.9,1.9%,11.7,31%,69%,40%,uptonju01
Justin Verlander,33,5,.178,-9,.333,.000,0.0%,40.0%,0.0%,71.2,0.0%,33.3%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,-0.6,100%,,,verlaju01
