--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Alex Avila,28,219,.292,79,.278,.096,1.8%,30.1%,18.3%,91.7,52.4%,29.2%,41.6%,23.9%,0.73,31.9%,51.3%,16.8%,-0.4,0.0%,-2.9,24%,0%,10%,avilaal01
Miguel Cabrera,32,511,.417,172,.384,.196,3.5%,16.1%,15.1%,94.3,57.0%,27.5%,43.3%,24.9%,0.76,17.8%,52.7%,29.5%,4.5,2.3%,47.2,22%,50%,29%,cabremi01
Nick Castellanos,23,595,.314,95,.322,.164,2.5%,25.6%,6.6%,88.6,36.9%,27.3%,37.2%,32.0%,0.59,19.6%,54.3%,26.1%,-0.6,-0.8%,-4.2,16%,0%,24%,casteni01
Yoenis Céspedes,29,427,.361,130,.331,.213,4.2%,20.4%,4.5%,93.3,50.9%,26.9%,44.4%,24.1%,0.80,25.6%,58.1%,16.3%,0.9,0.4%,14.5,37%,43%,53%,cespeyo01
Tyler Collins,25,207,.317,96,.324,.151,1.9%,20.8%,6.3%,88.3,35.1%,28.0%,40.0%,26.0%,0.68,38.7%,42.0%,19.3%,0.7,0.0%,5.3,23%,67%,63%,collity01
Rajai Davis,34,370,.330,104,.308,.182,2.2%,20.5%,6.0%,86.9,34.3%,26.8%,43.1%,19.0%,0.79,21.9%,52.4%,25.7%,-0.1,-0.4%,-6.5,42%,69%,45%,davisra01
Buck Farmer,24,4,.224,27,1.000,.000,0.0%,75.0%,0.0%,97.6,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.6,0%,,0%,farmebu01
Daniel Fields,24,3,.415,168,1.000,.333,0.0%,66.7%,0.0%,103.0,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,100%,,100%,fieldda01
Anthony Gose,24,535,.315,94,.352,.113,0.9%,27.1%,8.4%,87.9,38.6%,24.3%,51.2%,15.2%,1.20,22.5%,58.2%,19.3%,-0.7,-0.1%,-13.8,41%,68%,57%,gosean01
