--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Alvarez,24,2,.348,113,.000,.000,0.0%,0.0%,50.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.2,0%,,,alvarjo02
Alex Avila,26,379,.315,88,.305,.148,2.9%,29.6%,11.6%,24.3%,44.1%,27.9%,0.82,33.3%,52.3%,14.4%,1.1,1.0%,-5.8,26%,,23%,avilaal01
Miguel Cabrera,30,652,.456,195,.356,.288,6.8%,14.4%,13.8%,26.1%,39.7%,28.7%,0.66,28.5%,49.5%,22.0%,6.7,5.4%,76.2,24%,100%,28%,cabremi01
Nick Castellanos,21,18,.240,33,.294,.000,0.0%,5.6%,0.0%,5.9%,58.8%,29.4%,1.43,23.5%,41.2%,35.3%,-0.3,-0.1%,-2.2,17%,,,casteni01
Andy Dirks,27,484,.310,84,.298,.107,1.9%,17.4%,8.7%,24.2%,42.4%,20.8%,0.77,29.8%,53.4%,16.9%,-2.4,-1.7%,-12.9,34%,88%,25%,dirksan01
Prince Fielder,29,712,.363,125,.307,.178,3.5%,16.4%,10.5%,26.2%,41.7%,24.9%,0.71,25.2%,59.1%,15.7%,2.1,1.8%,24.9,25%,50%,29%,fieldpr01
Doug Fister,29,7,.361,132,.500,.000,0.0%,14.3%,0.0%,16.7%,50.0%,0.0%,3.00,16.7%,83.3%,0.0%,0.1,0.1%,0.8,0%,,,fistedo01
Avisaíl García,22,88,.296,79,.295,.133,2.3%,23.9%,4.6%,14.3%,65.1%,19.0%,1.86,12.7%,57.1%,30.2%,-0.5,-0.4%,-4.4,46%,0%,40%,garciav01
Bryan Holaday,25,33,.419,172,.304,.148,3.0%,9.1%,6.1%,22.2%,37.0%,25.9%,0.71,22.2%,44.4%,33.3%,0.0,0.0%,0.6,54%,,17%,holadbr01
Torii Hunter,37,652,.352,117,.344,.162,2.6%,17.3%,4.0%,20.6%,50.0%,21.5%,1.04,20.9%,58.7%,20.4%,0.4,0.3%,11.7,37%,60%,51%,hunteto01
José Iglesias,23,148,.292,71,.320,.089,1.4%,20.3%,2.7%,16.5%,52.3%,11.0%,1.36,26.6%,58.7%,14.7%,-1.3,-0.7%,-8.4,23%,67%,33%,iglesjo01
Omar Infante,31,476,.353,116,.333,.132,2.1%,9.2%,4.2%,25.0%,38.1%,27.9%,0.63,30.6%,57.8%,11.7%,-0.5,-0.6%,5.5,28%,71%,46%,infanom01
Austin Jackson,26,614,.344,110,.333,.145,2.0%,21.0%,8.5%,29.4%,42.0%,25.6%,0.74,24.2%,54.5%,21.2%,-0.4,-0.4%,5.7,45%,67%,45%,jacksau01
Don Kelly,33,251,.300,76,.226,.120,2.4%,11.2%,10.8%,15.5%,38.1%,30.9%,0.63,28.4%,51.0%,20.6%,0.1,0.5%,-3.7,31%,100%,32%,kellydo01
Victor Martinez,34,668,.343,111,.313,.129,2.1%,9.3%,8.1%,24.1%,43.0%,27.9%,0.76,29.9%,53.2%,16.9%,0.5,0.7%,5.5,24%,0%,22%,martivi01
Brayan Peña,31,243,.314,91,.315,.100,1.7%,10.7%,2.5%,19.6%,51.7%,19.6%,1.10,26.3%,54.1%,19.6%,-1.2,-0.7%,-10.5,21%,0%,19%,penabr01
Jhonny Peralta,31,448,.360,124,.374,.154,2.5%,21.9%,7.8%,28.3%,38.9%,29.3%,0.64,29.9%,50.6%,19.4%,1.6,1.4%,14.4,26%,50%,36%,peraljh01
Hernán Pérez,22,71,.227,19,.250,.030,0.0%,21.1%,2.8%,18.5%,44.4%,25.9%,0.89,20.4%,51.9%,27.8%,-0.7,-0.3%,-4.5,57%,100%,63%,perezhe01
Rick Porcello,24,3,.301,79,.333,.000,0.0%,0.0%,0.0%,33.3%,66.7%,0.0%,2.00,33.3%,66.7%,0.0%,0.0,0.0%,-0.5,0%,,0%,porceri01
Aníbal Sánchez,29,7,.139,-97,,.000,0.0%,57.1%,14.3%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.1,0%,,,sanchan01
Ramon Santiago,33,234,.284,67,.260,.063,0.4%,13.7%,9.0%,22.2%,46.1%,18.9%,1.01,34.1%,49.7%,16.2%,-1.1,-0.5%,-10.7,38%,0%,30%,santira01
Max Scherzer,28,3,.419,166,.333,.333,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,0.50,33.3%,66.7%,0.0%,0.1,0.0%,0.7,0%,,0%,scherma01
