--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Barnes,29,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,barnema01
Andrew Benintendi,24,615,.337,99,.333,.165,2.1%,22.8%,9.6%,89.1,40.5%,25.4%,38.1%,28.1%,0.63,27.6%,52.8%,19.6%,-0.7,0.2%,3.5,30%,77%,41%,beninan01
Mookie Betts,26,706,.390,135,.309,.229,4.1%,14.3%,13.7%,91.6,50.2%,29.1%,31.7%,30.5%,0.47,29.9%,53.7%,16.4%,4.0,1.8%,43.8,43%,84%,53%,bettsmo01
Xander Bogaerts,26,698,.400,144,.338,.246,4.7%,17.5%,10.9%,91.1,47.3%,23.3%,42.6%,26.3%,0.74,28.8%,52.9%,18.3%,4.4,2.0%,42.4,33%,67%,51%,bogaexa01
Jackie Bradley Jr.,29,567,.322,91,.281,.196,3.7%,27.3%,9.9%,90.7,48.2%,19.8%,50.0%,24.4%,1.02,35.9%,48.1%,16.0%,-2.5,-1.0%,-13.5,30%,57%,49%,bradlja02
Juan Centeno,29,18,.229,15,.154,.000,0.0%,11.1%,11.1%,86.8,20.0%,30.8%,46.2%,7.7%,0.86,30.8%,38.5%,30.8%,0.2,0.0%,-0.4,0%,100%,0%,centeju01
Michael Chavis,23,382,.326,92,.347,.190,4.7%,33.3%,8.1%,89.4,40.6%,19.1%,45.5%,27.3%,0.83,21.4%,59.1%,19.5%,-0.1,-0.1%,-2.4,26%,67%,45%,chavimi01
Rafael Devers,22,702,.385,136,.339,.244,4.6%,17.0%,6.8%,93.3,53.4%,25.6%,44.4%,22.8%,0.81,35.0%,46.9%,18.1%,2.0,1.1%,48.9,44%,50%,57%,deverra01
Nathan Eovaldi,29,2,.000,-137,.000,.000,0.0%,50.0%,0.0%,29.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,0%,eovalna01
Gorkys Hernández,31,57,.207,2,.194,.102,0.0%,24.6%,8.8%,78.9,27.3%,18.4%,42.1%,21.1%,0.84,23.7%,52.6%,23.7%,-0.4,0.0%,-6.7,33%,100%,40%,hernago01
Marco Hernández,26,155,.281,64,.337,.088,1.3%,27.1%,1.9%,87.4,27.0%,19.6%,52.3%,20.6%,1.19,27.1%,46.7%,26.2%,-0.8,0.2%,-11.9,36%,33%,36%,hernama02
Brock Holt,31,295,.337,99,.365,.104,1.0%,19.3%,9.5%,87.6,32.4%,27.7%,48.1%,20.9%,0.93,28.8%,53.7%,17.6%,0.3,0.4%,0.0,33%,100%,37%,holtbr01
Brian Johnson,28,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,100%,,,johnsbr02
Sandy Leon,30,191,.258,43,.231,.105,2.6%,24.6%,6.8%,84.3,28.8%,23.8%,33.8%,22.3%,0.54,23.8%,56.2%,20.0%,-1.0,-0.6%,-10.4,21%,,14%,leonsa01
Tzu-Wei Lin,25,22,.273,64,.286,.100,0.0%,27.3%,9.1%,83.0,14.3%,7.1%,71.4%,14.3%,2.50,35.7%,42.9%,21.4%,-0.1,-0.1%,-0.1,43%,50%,67%,lintz02
J.D. Martinez,31,657,.393,139,.342,.252,5.5%,21.0%,11.0%,91.7,50.0%,28.5%,42.8%,25.6%,0.75,23.5%,56.8%,19.7%,0.5,-0.1%,29.2,29%,100%,29%,martijd02
Mitch Moreland,33,335,.355,112,.271,.255,5.7%,22.1%,10.2%,91.4,49.0%,23.9%,46.9%,25.7%,0.88,35.0%,50.4%,14.6%,1.1,0.5%,2.9,32%,100%,31%,morelmi01
Eduardo Núñez,32,174,.252,37,.257,.078,1.2%,15.5%,2.3%,88.5,37.1%,20.3%,53.8%,11.9%,1.18,23.8%,56.6%,19.6%,-2.3,-1.4%,-16.1,24%,83%,25%,nunezed02
Chris Owings,27,51,.248,41,.286,.111,2.0%,45.1%,11.8%,87.8,52.6%,18.2%,63.6%,18.2%,1.75,31.8%,59.1%,9.1%,-0.2,-0.1%,-3.3,15%,50%,40%,owingch01
Steve Pearce,36,99,.243,33,.259,.079,1.0%,31.3%,7.1%,89.1,37.0%,27.1%,42.4%,22.0%,0.74,28.8%,50.8%,20.3%,-1.2,-0.6%,-9.1,35%,,20%,pearcst01
Dustin Pedroia,35,21,.160,-25,.111,.000,0.0%,9.5%,4.8%,85.8,23.5%,5.6%,61.1%,33.3%,1.57,5.6%,66.7%,27.8%,-0.5,-0.2%,-5.1,33%,,100%,pedrodu01
Rick Porcello,30,6,.000,-137,.000,.000,0.0%,33.3%,0.0%,86.3,0.0%,0.0%,50.0%,25.0%,2.00,25.0%,25.0%,50.0%,-0.1,0.0%,-1.8,,,,porceri01
David Price,33,2,.443,174,1.000,.000,0.0%,50.0%,0.0%,89.1,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.1,0.0%,0.7,0%,,0%,priceda01
Eduardo Rodriguez,26,9,.127,-90,.000,.000,0.0%,33.3%,0.0%,73.3,0.0%,0.0%,66.7%,0.0%,,0.0%,83.3%,16.7%,-0.2,0.0%,-1.8,,,0%,rodried05
Blake Swihart,27,29,.303,76,.278,.154,3.5%,24.1%,6.9%,88.6,44.4%,36.8%,42.1%,21.1%,0.73,42.1%,47.4%,10.5%,-0.1,0.0%,0.4,38%,,0%,swihabl01
Sam Travis,25,157,.288,63,.243,.167,3.8%,22.9%,7.0%,89.6,42.7%,11.9%,56.0%,23.9%,1.27,21.1%,59.6%,19.3%,-0.6,0.0%,-8.1,29%,100%,33%,travisa01
Christian Vázquez,28,521,.336,99,.305,.201,4.4%,19.4%,6.3%,89.6,43.1%,29.7%,38.5%,25.1%,0.64,24.3%,54.3%,21.4%,-0.3,-0.8%,-1.6,30%,67%,42%,vazquch01
Hector Velázquez,30,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,velazhe01
Marcus Walden,30,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,waldema01
League Average,,,.328,99,.297,.185,3.7%,23.0%,8.5%,89.2,40.3%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,17.9%,,,,31%,72%,40%,-9999
Team Total,,6475,.347,107,.313,.197,3.8%,21.3%,9.1%,90.3,44.7%,24.7%,43.0%,24.9%,0.76,28.5%,52.8%,18.7%,1.3,1.1%,77.7,33%,69%,44%,-9999
