--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Andrew Benintendi,22,658,.338,98,.301,.154,3.0%,17.0%,10.6%,87.8,36.3%,26.6%,40.6%,23.8%,0.70,28.1%,51.5%,20.4%,-0.3,-0.2%,12.0,30%,80%,44%,beninan01
Mookie Betts,24,712,.352,106,.268,.194,3.4%,11.1%,10.8%,88.9,42.6%,24.7%,41.0%,21.7%,0.69,30.5%,54.0%,15.5%,3.2,2.1%,27.6,35%,90%,68%,bettsmo01
Xander Bogaerts,24,635,.338,97,.327,.130,1.6%,18.3%,8.8%,87.4,35.0%,24.9%,48.4%,17.7%,0.94,27.1%,53.2%,19.7%,-0.7,-1.2%,3.5,40%,94%,56%,bogaexa01
Jackie Bradley Jr.,27,541,.325,91,.294,.158,3.1%,22.9%,8.9%,88.6,43.6%,22.5%,49.7%,21.1%,1.00,32.5%,51.4%,16.1%,0.2,0.5%,3.3,26%,73%,54%,bradlja02
Chase d'Arnaud,30,1,.799,432,1.000,.000,0.0%,0.0%,0.0%,70.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.3,100%,,100%,darnach01
Rajai Davis,36,38,.290,63,.391,.056,0.0%,34.2%,2.6%,85.6,18.2%,21.7%,56.5%,13.0%,1.30,34.8%,56.5%,8.7%,-0.5,-0.4%,-0.7,50%,75%,33%,davisra01
Rafael Devers,20,240,.355,112,.342,.198,4.2%,23.8%,7.5%,89.7,49.0%,19.4%,49.1%,23.6%,0.99,25.5%,57.0%,17.6%,0.5,0.4%,1.3,34%,75%,44%,deverra01
Doug Fister,33,2,.000,-142,.000,.000,0.0%,0.0%,0.0%,79.1,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.8,,,,fistedo01
Marco Hernández,24,60,.265,55,.372,.052,0.0%,25.0%,1.7%,84.9,31.4%,23.3%,53.5%,16.3%,1.21,18.6%,60.5%,20.9%,-0.3,-0.2%,-3.4,35%,0%,36%,hernama02
Brock Holt,29,164,.270,52,.259,.043,0.0%,20.7%,11.6%,83.7,16.2%,20.4%,60.2%,13.0%,1.55,25.0%,49.1%,25.9%,-1.4,-1.1%,-11.4,34%,67%,35%,holtbr01
Brian Johnson,26,2,.000,-142,.000,.000,0.0%,0.0%,0.0%,92.0,0.0%,0.0%,50.0%,0.0%,,50.0%,50.0%,0.0%,-0.1,0.0%,-1.0,,,,johnsbr02
Kyle Kendrick,32,2,.000,-384,,.000,0.0%,50.0%,0.0%,33.5,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,,,,kendrky01
Sandy Leon,28,301,.282,60,.280,.129,2.3%,24.6%,8.3%,83.2,27.6%,29.9%,35.8%,18.9%,0.58,30.8%,50.7%,18.4%,-0.5,-0.2%,-3.1,31%,,19%,leonsa01
Tzu-Wei Lin,23,66,.331,98,.385,.071,0.0%,25.8%,13.6%,84.0,38.9%,27.5%,42.5%,22.5%,0.81,25.0%,60.0%,15.0%,-0.3,-0.3%,-2.2,28%,50%,50%,lintz02
Deven Marrero,26,188,.282,55,.296,.123,2.1%,32.5%,6.4%,87.4,31.3%,25.2%,49.6%,15.7%,1.12,13.9%,53.9%,32.2%,-0.5,-0.4%,-3.8,52%,100%,46%,marrede01
Mitch Moreland,31,576,.332,97,.278,.197,3.8%,20.8%,9.9%,89.6,39.6%,24.2%,44.3%,26.2%,0.80,30.0%,51.4%,18.6%,0.7,0.5%,9.6,31%,0%,33%,morelmi01
Eduardo Núñez,30,173,.391,137,.341,.218,4.6%,14.5%,3.5%,87.3,39.1%,25.7%,50.0%,14.3%,1.01,25.7%,54.3%,20.0%,0.8,0.8%,8.5,28%,75%,14%,nunezed02
Dustin Pedroia,33,463,.342,105,.315,.099,1.5%,10.4%,10.6%,85.1,23.1%,25.3%,48.9%,18.1%,0.97,19.8%,59.6%,20.6%,0.6,0.8%,15.7,24%,57%,16%,pedrodu01
Drew Pomeranz,28,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,pomerdr01
